,(58:r:74:47),(58:r:74:48),(58:r:74:49),(58:r:75:44),(58:r:75:45),(58:r:75:46),(58:r:75:47),(58:r:75:48),(58:r:75:49),(58:r:75:50),(58:r:75:51),(58:r:75:52),(58:r:75:53),(58:r:75:54),(58:r:75:55),(58:r:76:42),(58:r:76:43),(58:r:76:44),(58:r:76:45),(58:r:76:46),(58:r:76:47),(58:r:76:48),(58:r:76:49),(58:r:76:50),(58:r:76:51),(58:r:76:52),(58:r:76:53),(58:r:76:54),(58:r:76:55),(58:r:76:56),(58:r:77:41),(58:r:77:42),(58:r:77:43),(58:r:77:44),(58:r:77:45),(58:r:77:46),(58:r:77:47),(58:r:77:48),(58:r:77:49),(58:r:77:50),(58:r:77:51),(58:r:77:52),(58:r:77:53),(58:r:77:54),(58:r:77:55),(58:r:77:56),(58:r:77:57),(58:r:78:42),(58:r:78:43),(58:r:78:44),(58:r:78:45),(58:r:78:46),(58:r:78:47),(58:r:78:48),(58:r:78:49),(58:r:78:50),(58:r:78:51),(58:r:78:52),(58:r:78:53),(58:r:78:54),(58:r:78:55),(58:r:78:56),(58:r:78:57),(58:r:78:58),(58:r:79:43),(58:r:79:44),(58:r:79:45),(58:r:79:46),(58:r:79:47),(58:r:79:48),(58:r:79:49),(58:r:79:50),(58:r:79:51),(58:r:79:52),(58:r:79:53),(58:r:79:54),(58:r:79:55),(58:r:79:56),(58:r:79:57),(58:r:79:58),(58:r:79:59),(58:r:80:44),(58:r:80:45),(58:r:80:46),(58:r:80:47),(58:r:80:48),(58:r:80:49),(58:r:80:50),(58:r:80:51),(58:r:80:52),(58:r:80:53),(58:r:80:54),(58:r:80:55),(58:r:80:56),(58:r:80:57),(58:r:80:58),(58:r:80:59),(58:r:81:45),(58:r:81:46),(58:r:81:47),(58:r:81:48),(58:r:81:49),(58:r:81:50),(58:r:81:51),(58:r:81:52),(58:r:81:53),(58:r:81:54),(58:r:81:55),(58:r:81:56),(58:r:81:57),(58:r:81:58),(58:r:81:59),(58:r:81:60),(58:r:82:46),(58:r:82:47),(58:r:82:48),(58:r:82:49),(58:r:82:50),(58:r:82:51),(58:r:82:52),(58:r:82:53),(58:r:82:54),(58:r:82:55),(58:r:82:56),(58:r:82:57),(58:r:82:58),(58:r:82:59),(58:r:82:60),(58:r:83:48),(58:r:83:49),(58:r:83:50),(58:r:83:51),(58:r:83:52),(58:r:83:53),(58:r:83:54),(58:r:83:55),(58:r:83:56),(58:r:83:57),(58:r:83:58),(58:r:83:59),(58:r:83:60),(58:r:84:51),(58:r:84:52),(58:r:84:53),(58:r:84:54),(58:r:84:55),(58:r:84:56),(58:r:84:57),(58:r:84:58),(58:r:84:59),(58:r:84:60),(58:r:85:58),(58:r:85:59),(58:r:85:60)
ACBc,,,,,,,,9.07E-05,0.003356009,0.060498866,0.247346939,0.304852608,0.187120181,0.178412698,0.070839002,,,,,,,,,0.000816327,0.045260771,0.372970522,0.641632653,0.52399093,0.358004535,0.256235828,,,,,,,,,,,0.001360544,0.027936508,0.234829932,0.296780045,0.361814059,0.327437642,0.186666667,,,9.07E-05,,9.07E-05,,,,,,,0.017052154,0.02185941,0.050793651,0.144943311,0.352562358,0.010975057,,,9.07E-05,,,,,,,,,,9.07E-05,0.023945578,0.136507937,0.092698413,0.008253968,,,,,,,,,,,,,0.004716553,0.026848073,0.026938776,0.024761905,,,,,,,,,,,,,,9.07E-05,0.002721088,0.000272109,,,,,,9.07E-05,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.l,,,,,,,,,,,,,,0.001360544,,,,,,,,,,,,,0.004353741,0.004172336,0.003628118,0.002358277,,,,,,,,,,,,0.003356009,,0.036462585,0.010975057,0.028390023,0.015782313,,,,,,,,,,,,0.022312925,0.066122449,0.053514739,0.070566893,0.095419501,0.10675737,,,,,,,,,,,0.020408163,0.144217687,0.172970522,0.185578231,0.080997732,0.118548753,0.007528345,,,,,,,,,,0.016054422,0.057052154,0.259863946,0.462947846,0.235011338,0.2369161,0.079637188,,,,,,,,,0.019954649,0.076553288,0.314829932,0.633560091,0.653968254,0.399637188,0.162176871,0.017868481,,,,,,,,0.002267574,0.013968254,0.039727891,0.412789116,0.65877551,0.682267574,0.476190476,0.140226757,,,,,,0.000544218,0.024217687,0.091882086,0.221587302,0.32952381,0.586848073,0.585034014,0.261315193,,,,0.000272109,0.018684807,0.084353741,0.09324263,0.360907029,0.2861678,0.109115646,,0.005714286,
ACBsh.m,,,,,,,,0.003174603,0.048707483,0.156371882,0.244988662,0.25260771,0.379954649,0.24,0.122539683,,,,,,,,,0.006621315,0.097505669,0.315464853,0.33968254,0.607981859,0.592380952,0.102222222,,,,,0.003537415,0.012335601,0.009342404,0.005351474,,,,0.008163265,0.057959184,0.229931973,0.403718821,0.42276644,0.107029478,,,,,0.000272109,9.07E-05,0.00462585,,,9.07E-05,,0.005170068,0.01106576,0.090612245,0.204263039,0.096417234,0.038730159,,,,,,,,,9.07E-05,,,,0.004081633,0.027482993,0.101405896,0.075918367,0.005804989,,,0.005714286,,,,,9.07E-05,,,9.07E-05,0.001632653,0.001451247,0.004444444,0.055056689,0.05569161,,,,,,,,,,,,,9.07E-05,0.003809524,0.032653061,0.005170068,,,,,,,,,,,,,0.001451247,0.003900227,0.001360544,,,,,,,,,,,0.000181406,0.002630385,0.003174603,,,,,,,,,,0.000544218,,,
CPc.d.dl,,,,,,,,,,,,,,,,,0.000816327,,,,,,,,,0.000816327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000272109,0.036734694,0.029206349,,,,,,,,,,,0.007437642,0.030294785,,,0.017052154,0.031473923,9.07E-05,,,,,,,,,0.006621315,,0.01106576,0.046077098,0.020861678,0.006439909,0.040453515,,,,,,,0.000181406,,,,,,,0.006712018,,,,,,,,,,,,,0.000544218,,,,,,,,0.000634921,,,,,,,,,,,0.001088435,,0.001360544,,,,,,,,,,,,,,,,,
CPc.d.dm,,,,,,,0.003900227,0.001904762,0.008344671,0.018412698,0.003356009,,,0.000907029,,0.002902494,,0.007619048,,0.000181406,0.007437642,,0.008163265,0.055056689,0.03845805,0.044988662,0.035918367,0.014693878,,,9.07E-05,0.009160998,0.039365079,0.114739229,0.000725624,0.003265306,0.005804989,0.002267574,0.01170068,9.07E-05,0.001995465,0.021405896,0.01414966,0.011609977,0.000544218,,,0.029297052,0.090340136,0.079183673,0.030385488,0.000362812,0.002176871,,,0.029478458,0.006621315,,0.001451247,0.000634921,0.004353741,,,,0.028390023,0.169070295,0.098866213,0.029024943,0.000362812,0.015328798,0.000272109,,,,0.070566893,0.088344671,0.037460317,,,,0.00244898,0.004535147,,0.0030839,0.005442177,0.000272109,,0.001088435,0.000272109,0.001360544,0.005079365,,,0.001179138,0.000725624,,,,9.07E-05,0.000997732,,,,,0.000544218,,,,,,,,,,,0.000816327,,,,,,0.001904762,9.07E-05,,,0.000997732,,,,0.000816327,9.07E-05,,,,0.000272109,,,0.000272109,,0.000544218,0.000272109,,,,,0.000272109,,,,,,,,
CPc.i.vm,,,,,,,0.003174603,,0.010068027,,,,9.07E-05,,,,,,,0.001451247,,,0.02675737,0.001088435,,0.016870748,0.003628118,,,9.07E-05,0.000272109,0.019954649,,,,,,,,,,0.006439909,,0.026575964,0.01170068,0.002721088,,0.013151927,,,,,,,,,0.004172336,0.00553288,0.011609977,,0.01324263,0.019773243,0.000997732,,,,,,,,,,,,,0.011337868,0.035646259,,0.040272109,0.022040816,,,0.017596372,,,0.000272109,0.01260771,0.007891156,,,,0.038004535,0.000725624,,0.02675737,0.002358277,,,,0.082176871,0.081179138,0.048435374,0.022494331,0.008072562,,,,,,,0.027120181,0.002086168,,,0.154739229,0.173151927,0.086349206,0.053061224,0.010793651,0.024489796,,,,,,,0.00154195,0.009251701,0.004897959,0.025487528,0.057868481,0.029206349,0.02829932,0.015782313,,,9.07E-05,,,,0.010884354,0.010249433,,,,0.002267574,0.010430839,,0.000181406,9.07E-05,0.039637188,,,
CPc.v.vm,,,,0.000725624,0.002630385,0.000453515,0.000453515,0.023219955,0.004535147,0.000544218,,,,,,,,0.004444444,0.004535147,0.012789116,0.012698413,,,,,,0.010612245,0.001269841,0.004716553,,0.000362812,0.013514739,0.012970522,0.032290249,0.008163265,0.008526077,,,0.006439909,0.008072562,,0.000544218,0.000453515,0.002811791,0.002539683,0.043718821,0.031564626,0.003809524,0.023310658,0.02185941,0.000453515,0.001088435,0.000453515,,0.009342404,0.007619048,0.021768707,0.003809524,0.005895692,0.001723356,0.010340136,0.052063492,0.131972789,0.077823129,0.010975057,0.045260771,0.002811791,0.000997732,0.006530612,0.000362812,0.001904762,,0.000997732,0.010612245,0.002811791,,0.02521542,0.034739229,0.149115646,0.223945578,0.07446712,0.017505669,0.024489796,0.008163265,,0.000362812,0.000816327,0.004807256,0.016780045,0.001632653,0.010068027,0.004353741,0.040816327,0.080907029,0.181405896,0.431111111,0.240816327,0.00861678,0.020589569,,0.015238095,0.003628118,0.031020408,0.027120181,,,0.006712018,0.07537415,0.09106576,0.071746032,0.131156463,0.167437642,0.070657596,,0.023129252,0.043356009,0.014875283,0.029387755,0.028390023,0.00244898,0.038730159,0.033106576,0.032380952,0.07446712,0.038548753,0.033106576,0.05106576,0.057505669,0.02122449,0.052970522,0.082721088,0.05260771,0.013333333,0.029569161,0.013424036,0.065759637,0.038730159,0.036099773,0.017324263,0.013514739,0.040634921,0.006893424,0.003537415,0.03600907,0.035646259,0.072018141,0.035283447,0.032108844,0.106848073,0.103310658,0.054331066,0.012063492,0.072471655,0.000362812
CPi.dl.d.r,,,,,,,,,,,,,,,,,,,0.001179138,,,0.007619048,,0.000634921,0.008798186,,,,,,0.002630385,0.018956916,0.000725624,0.001269841,0.000181406,0.003174603,0.015963719,0.034557823,0.084535147,0.030022676,0.005804989,0.001269841,,,,,,0.003356009,0.004807256,0.009614512,0.007528345,0.049705215,0.206077098,0.352199546,0.251609977,0.197006803,0.105941043,0.01015873,0.00154195,,,,,,0.028027211,0.230566893,0.313287982,0.43138322,0.369433107,0.497777778,0.443265306,0.461950113,0.16553288,0.005623583,0.001995465,,,9.07E-05,,,,0.132244898,0.562630385,0.636281179,0.595918367,0.645170068,0.427573696,0.282721088,0.186485261,0.09324263,0.03047619,0.016326531,,0.000181406,,,,0.057687075,0.62122449,0.799546485,0.596190476,0.389115646,0.216417234,0.056054422,0.021405896,0.051156463,0.012698413,0.005623583,0.000272109,,9.07E-05,,,0.015328798,0.271927438,0.260589569,0.081632653,0.032653061,0.010702948,0.001995465,0.000725624,0.004988662,0.00553288,0.000544218,0.000634921,,,,0.005895692,0.010975057,0.000725624,0.0030839,,0.000634921,0.000181406,,0.000544218,0.000453515,,,,,,0.001632653,0.000272109,,,0.000453515,,,,,,
CPi.dm.cd,,,,,,,,,0.00399093,,,,,0.001269841,,0.094240363,0.085260771,0.016870748,0.027210884,0.000453515,,,0.006439909,0.086530612,0.024580499,0.004807256,,,,,0.148117914,0.601723356,0.383764172,0.098231293,0.026485261,0.02984127,0.006621315,0.003718821,0.035464853,0.081995465,0.111111111,0.020045351,,,,0.000725624,,0.233922902,0.632018141,0.545578231,0.147210884,0.022585034,0.007437642,0.007981859,0.002811791,0.01569161,0.057142857,0.038367347,0.001814059,,,,,,0.235827664,0.485442177,0.382222222,0.075283447,0.019773243,,0.003718821,,,0.006802721,0.002539683,,,,,,,0.048526077,0.047709751,0.008526077,0.018866213,0.006349206,,,,,0.006258503,0.00399093,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000272109,,,,,,,,,,,,,0.000544218,,,,,,,,,,,,,,,,,,,,,
CPi.dm.d,,,,0.005623583,0.018956916,0.018321995,0.006530612,0.030566893,0.012244898,,,,,,,0.000181406,0.076643991,0.160544218,0.222857143,0.153197279,0.148117914,0.101315193,0.025306122,0.023401361,0.014331066,,,,,,0.006621315,0.024852608,0.288707483,0.413786848,0.426303855,0.731337868,0.617052154,0.694331066,0.453605442,0.271111111,0.05569161,,,,,,,0.076825397,0.213696145,0.352108844,0.757913832,0.856689342,0.884353741,0.741043084,0.697414966,0.429569161,0.115464853,0.001269841,,,,,,,,0.019410431,0.081723356,0.201360544,0.23138322,0.153015873,0.108390023,0.036553288,0.020226757,0.002267574,,,,,,,,,,0.000272109,0.00244898,0.004716553,0.007709751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
