,(62:r:81:51),(62:r:81:52),(62:r:81:53),(62:r:81:54),(62:r:81:55),(62:r:82:48),(62:r:82:49),(62:r:82:50),(62:r:82:51),(62:r:82:52),(62:r:82:53),(62:r:82:54),(62:r:82:55),(62:r:83:44),(62:r:83:45),(62:r:83:46),(62:r:83:47),(62:r:83:48),(62:r:83:49),(62:r:83:50),(62:r:83:51),(62:r:83:52),(62:r:83:53),(62:r:83:54),(62:r:83:55),(62:r:83:56),(62:r:84:42),(62:r:84:43),(62:r:84:44),(62:r:84:45),(62:r:84:46),(62:r:84:47),(62:r:84:48),(62:r:84:49),(62:r:84:50),(62:r:84:51),(62:r:84:52),(62:r:84:53),(62:r:84:54),(62:r:84:55),(62:r:84:56),(62:r:85:39),(62:r:85:40),(62:r:85:41),(62:r:85:42),(62:r:85:43),(62:r:85:44),(62:r:85:45),(62:r:85:46),(62:r:85:47),(62:r:85:48),(62:r:85:49),(62:r:85:50),(62:r:85:51),(62:r:85:52),(62:r:85:53),(62:r:85:54),(62:r:85:55),(62:r:85:56),(62:r:86:39),(62:r:86:40),(62:r:86:41),(62:r:86:42),(62:r:86:43),(62:r:86:44),(62:r:86:45),(62:r:86:46),(62:r:86:47),(62:r:86:48),(62:r:86:49),(62:r:86:50),(62:r:86:51),(62:r:86:52),(62:r:86:53),(62:r:86:54),(62:r:86:55),(62:r:86:56),(62:r:87:39),(62:r:87:40),(62:r:87:41),(62:r:87:42),(62:r:87:43),(62:r:87:44),(62:r:87:45),(62:r:87:46),(62:r:87:47),(62:r:87:48),(62:r:87:49),(62:r:87:50),(62:r:87:51),(62:r:87:52),(62:r:87:53),(62:r:87:54),(62:r:87:55),(62:r:88:40),(62:r:88:41),(62:r:88:42),(62:r:88:43),(62:r:88:44),(62:r:88:45),(62:r:88:46),(62:r:88:47),(62:r:88:48),(62:r:88:49),(62:r:88:50),(62:r:88:51),(62:r:88:52),(62:r:88:53),(62:r:88:54),(62:r:88:55),(62:r:89:42),(62:r:89:43),(62:r:89:44),(62:r:89:45),(62:r:89:46),(62:r:89:47),(62:r:89:48),(62:r:89:49),(62:r:89:50),(62:r:89:51),(62:r:89:52),(62:r:89:53),(62:r:89:54),(62:r:89:55),(62:r:90:43),(62:r:90:44),(62:r:90:45),(62:r:90:46),(62:r:90:47),(62:r:90:48),(62:r:90:49),(62:r:90:50),(62:r:90:51),(62:r:90:52),(62:r:90:53),(62:r:90:54),(62:r:91:44),(62:r:91:45),(62:r:91:46),(62:r:91:47),(62:r:91:48),(62:r:91:49),(62:r:91:50),(62:r:91:51),(62:r:91:52),(62:r:91:53),(62:r:92:47),(62:r:92:48),(62:r:92:49),(62:r:92:50),(62:r:92:51),(62:r:92:52)
ACBc,,0.018956916,0.006439909,,,,,9.07E-05,,0.106122449,0.004172336,9.07E-05,0.015419501,,,,9.07E-05,,,,,0.001360544,,0.003809524,,,,,,,,,,,,,,,,9.07E-05,0.00244898,,9.07E-05,,9.07E-05,,,,,,,,,,,,,,,,0.000634921,0.000272109,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,0.000181406,,,,,,,,,,,,,,,,9.07E-05,,,,,9.07E-05,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,
ACBsh.l,,,0.013968254,0.010702948,,,,,,,0.029206349,0.02521542,0.026213152,,,,,,,,0.001995465,0.006077098,0.029569161,0.047256236,0.09170068,0.044535147,,,,,,,,,,0.002539683,0.022403628,0.045079365,0.22829932,0.231655329,0.071655329,,,,,,,,,,,,,,0.001632653,0.004988662,0.129886621,0.178594104,0.073106576,,,,,,,,,,,,,,,0.017868481,0.069024943,0.112471655,0.013333333,,0.000181406,,,,,,,,,,,,,,0.030113379,0.021768707,,,,,,,,,,,,,,,0.036190476,0.014421769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.dl,,,,,,,,,,,,,,,,9.07E-05,,0.000544218,0.009433107,,,,,,,,,,,,0.022131519,0.076281179,0.042358277,0.026394558,0.002630385,0.0030839,0.004172336,,,,,,0.000544218,0.012970522,0.035192744,0.014058957,,0.07138322,0.129070295,0.370793651,0.109750567,0.025124717,0.011519274,,,,,,,0.003900227,0.03138322,0.129886621,0.144761905,0.010249433,,0.011337868,0.405623583,0.404444444,0.026303855,0.001451247,0.000453515,,,,,,,,0.015056689,0.077097506,0.122630385,0.195011338,0.096870748,0.064671202,0.250612245,0.046077098,0.02185941,0.011519274,0.000453515,,,,,,,0.065487528,0.043809524,0.250430839,0.220952381,0.028752834,0.010884354,0.004897959,0.001632653,0.000907029,,,,,,,0.103582766,0.268752834,0.488979592,0.059773243,0.013968254,,,,,,,,,,0.000816327,0.054512472,0.015147392,0.009070295,,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.dm,,,,,,,,,,,,,,,0.003718821,0.001269841,,0.008888889,0.043718821,0.001723356,,9.07E-05,,,0.000272109,,0.001632653,0.040816327,0.281995465,0.234739229,0.01324263,0.002993197,0.051247166,0.045804989,,,,0.000725624,,,,,0.121451247,0.104126984,0.062675737,0.161360544,0.208798186,0.024217687,0.00154195,0.001269841,0.0061678,,,,,,,,,0.001814059,0.262222222,0.233650794,0.023310658,0.008344671,0.000725624,0.029115646,0.000544218,0.001269841,,,,,,,,,,,0.051156463,0.084716553,0.004535147,,0.001179138,0.001632653,0.001088435,0.002086168,,,,,,,,,,,0.008798186,0.009795918,0.003809524,0.000362812,,,,,,,,,,,,,0.000272109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.vm,,,,,,,0.002176871,0.006621315,0.001360544,,,,,,0.00399093,0.004172336,0.029297052,0.076281179,0.05814059,0.108480726,0.039365079,0.042993197,0.001451247,,,,9.07E-05,,0.000544218,0.000272109,0.007800454,0.039818594,0.045170068,0.038911565,0.016054422,0.007528345,0.000544218,0.000907029,,,,,0.020680272,0.000453515,0.001995465,,0.000181406,0.002721088,0.000816327,0.00399093,0.010975057,0.010612245,0.000816327,0.001360544,0.000181406,9.07E-05,,9.07E-05,,0.087437642,0.296417234,0.122176871,0.039092971,0.006621315,0.000453515,,0.000181406,0.000181406,0.0030839,0.004807256,0.000907029,0.000181406,,,,,,9.07E-05,0.183310658,0.406439909,0.041995465,0.00154195,0.015328798,0.008253968,0.000544218,9.07E-05,,0.000181406,,9.07E-05,,,,0.000181406,0.000362812,0.054331066,0.392743764,0.063401361,0.005804989,0.002539683,,9.07E-05,,,9.07E-05,,,,,,0.187120181,0.132244898,0.015147392,9.07E-05,0.00154195,0.001088435,,,,,,,9.07E-05,,0.022494331,0.037097506,0.007619048,0.005804989,9.07E-05,,,,,,,,0.003356009,0.001451247,0.004081633,9.07E-05,,,,,,,,,,,,
CPext.d,,,,,,,,0.004263039,,,0.000272109,,,,,0.006712018,0.016326531,0.047437642,0.013968254,,,,,,,,,0.018049887,,,0.00154195,0.038820862,0.01260771,0.016145125,0.000272109,0.024489796,9.07E-05,,,,,,,,,0.027664399,,,9.07E-05,0.019319728,9.07E-05,,0.010249433,0.000362812,,,0.00553288,,,0.004897959,0.002176871,,,,,,,,,,0.058049887,,,,,,,,,,9.07E-05,,,,,,,0.000453515,0.003900227,,0.004353741,,,,,,0.033378685,0.005714286,,,,,,,,,,,,,0.016870748,0.013968254,0.051609977,0.006984127,0.006077098,,,9.07E-05,0.010249433,9.07E-05,,,,,0.003628118,0.005986395,0.025124717,0.007256236,,,,,,,,,,0.001814059,0.013605442,,,0.004263039,0.000181406,,,,,,0.003718821,,,
CPext.cv,,,,,,,,,,,,,,,0.002539683,,,0.000816327,0.011882086,0.004263039,,,,,,,,,,0.000907029,,,,,,,,,0.005079365,0.001360544,,,,,,,,,,,,,,,,0.001179138,0.007165533,0.003265306,0.001723356,,,,9.07E-05,,9.07E-05,9.07E-05,,,,,,,,0.000181406,,0.002993197,,,,,,,,,,,,,0.000181406,,,9.07E-05,,0.009251701,,,0.000181406,,,,,,,,,,,9.07E-05,0.009705215,0.01414966,,,,,,,,,,,0.000181406,0.016870748,,9.07E-05,,,,,0.000181406,,,,,0.002630385,0.002630385,0.002539683,,,0.000725624,0.004535147,,,,9.07E-05,0.023129252,0.011882086,,0.003718821,9.07E-05,0.000272109,0.000725624,0.000816327
CPc.i.d,,,0.000181406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002358277,0.009070295,0.000544218,0.009251701,0.003900227,,,,,,,,,,,,,0.003900227,0.02829932,0.025034014,0.003718821,,,,,,,,,,,,,,,0.002721088,0.011337868,0.005623583,0.005804989,0.004897959,,,,,,,,,,,,,,,0.021405896,,0.001814059,,,,0.000725624,,,,0.002993197,0.01723356,0.000181406,,,,,,,0.003356009,,,,,,0.047709751,0.142585034,0.004988662,0.002630385,,,,,,,0.001814059,,,,0.010975057,0.036371882,0.00244898,0.000181406,0.000453515,,,,,,,,,,,0.001179138,0.001451247,,,,,,,,,,,
CPc.i.vl,,,,,,,,,,,,,,,,,,,,,0.006621315,0.003174603,0.000272109,,,,,,,,,,0.002993197,,,0.000544218,,,,,,,,,,,,,,,,0.005351474,0.019229025,0.000634921,0.000181406,,,,,,,,,,,,,,0.000181406,0.022040816,0.01814059,0.000181406,,,,,,,,,,,,0.000816327,,,0.010975057,0.026122449,0.030113379,0.035827664,0.01170068,,,,,,,,,,,,0.004353741,0.041904762,0.044172336,0.009614512,,,,,,,,,,,,0.00707483,0.009977324,0.003356009,,,,,,0.021315193,0.120544218,0.022040816,0.012335601,0.010612245,,0.000907029,,,,,0.001088435,0.10521542,0.098866213,0.089614512,0.026575964,,0.000362812,0.00244898,,,,,,,,
CPc.i.vm,,,,,,,0.009342404,0.007709751,0.002086168,,,,,,,0.024943311,0.070113379,0.10430839,0.129705215,0.094331066,0.05324263,0.009795918,0.000816327,,,,,,0.020136054,0.085895692,0.155736961,0.173151927,0.051882086,0.109659864,0.136507937,0.055510204,0.000453515,0.001723356,9.07E-05,,,,,,,,,0.024489796,0.007256236,0.045351474,0.14739229,0.017505669,0.005895692,0.002721088,0.006077098,0.00399093,0.02122449,,,,,,,,,,,0.030385488,0.031201814,0.000453515,0.001451247,0.000362812,0.005986395,0.006530612,0.010975057,,,,,,,,,,,,,,,9.07E-05,0.002086168,,,,,,,,,,,,,,0.000181406,,0.010068027,9.07E-05,0.001088435,,,,,,,,,,,0.000181406,,,0.006258503,0.000181406,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,
CPc.v.vl,,,,,,,,,,,,,,,,,,,,,,,,,0.000453515,,,,,,,,,,,,,,0.011156463,,,,,,,,,,,,,,,,0.008798186,0.025578231,0.010702948,0.000453515,,,,,,,,,,,,,,,0.011156463,0.012335601,0.004897959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000181406,,,,,,,,,,,,,,,,,,,,,0.001360544,,,,,0.000181406,0.000453515,0.000272109,,0.000181406,,,0.000634921,0.017142857,0.015147392,0.012698413,0.007528345,0.000816327,9.07E-05,,0.00399093,0.001723356,0.00399093,0.012154195,0.005623583,
CPc.v.vm,,0.000453515,0.000725624,,,,0.000453515,0.004444444,0.026303855,0.002721088,0.002993197,9.07E-05,0.001179138,,,,,,0.000544218,0.003537415,0.016417234,0.005623583,0.005170068,0.016689342,0.005351474,,,,,0.000453515,0.000181406,,,0.000453515,0.000634921,0.02739229,0.011247166,0.025941043,0.02585034,0.013333333,,,9.07E-05,,,,0.000181406,,0.000181406,,0.000181406,0.000816327,0.00553288,0.051609977,0.016054422,0.029478458,0.088888889,0.005351474,9.07E-05,,,,,0.000907029,,,,,0.000272109,0.000453515,0.000816327,0.003718821,0.085442177,0.311292517,0.326984127,0.021043084,9.07E-05,,,,9.07E-05,,,0.000272109,,,,0.000453515,,0.008707483,0.10521542,0.378231293,0.646984127,0.346666667,,,,,,,,,,,,0.000544218,0.00707483,0.064580499,0.188571429,0.137687075,,0.000816327,,,,,,0.005623583,0.000544218,0.002086168,0.012789116,0.031473923,0.076371882,0.033560091,,0.000453515,,,,,,0.001179138,0.005442177,0.006258503,0.059229025,0.030294785,,,0.004444444,,,,0.005895692,,0.012698413,0.041723356,,,,0.000907029,9.07E-05,
CPi.dl.d(tr),,,0.001179138,,,,,,0.000453515,,0.000453515,0.000362812,,,,0.000181406,,,,,,,,0.000907029,,,,,0.000544218,,9.07E-05,0.000362812,,,0.000453515,,,9.07E-05,0.000725624,,,0.000634921,,0.000544218,,,,,0.000725624,0.008798186,0.000634921,0.002902494,0.000816327,0.000272109,,0.000362812,,,,,0.000725624,0.000453515,,0.000181406,,0.000816327,0.001269841,0.01106576,0.001088435,,0.002086168,0.000544218,0.000634921,,,9.07E-05,,,0.000634921,0.005079365,0.030204082,0.005895692,,0.008707483,0.039092971,0.051972789,0.0769161,0.003537415,0.000907029,,,,0.000725624,,,0.001360544,0.182947846,0.39047619,0.147755102,0.427029478,0.70185941,0.700226757,0.335328798,0.020045351,,,,,9.07E-05,,0.044172336,0.477460317,0.444897959,0.790657596,0.62585034,0.541405896,0.202267574,0.01723356,0.001995465,9.07E-05,0.000272109,0.000362812,0.000453515,,0.132244898,0.426575964,0.376961451,0.325442177,0.037460317,0.026303855,0.009614512,0.003900227,0.000272109,0.000362812,0.000272109,9.07E-05,0.001269841,0.010340136,0.005804989,0.000907029,0.011972789,0.000634921,0.000272109,0.000272109,9.07E-05,,,0.000181406,0.000181406,,,
CPi.dl.d.r,0.010702948,0.199183673,0.196099773,0.00244898,,0.000181406,0.049705215,0.146666667,0.184399093,0.380498866,0.274376417,0.075192744,0.0030839,,0.000272109,0.003900227,0.004897959,0.137959184,0.15537415,0.344489796,0.154920635,0.246984127,0.303854875,0.177777778,0.015419501,9.07E-05,,,,0.006802721,0.008888889,0.054603175,0.14829932,0.021587302,0.13877551,0.111292517,0.205442177,0.076825397,0.059138322,0.028208617,,,,0.003718821,0.001269841,0.00399093,0.009886621,0.017324263,0.027755102,0.036643991,0.062947846,0.09968254,0.053514739,0.01414966,0.013424036,0.003265306,,,,,,,,0.025759637,0.211519274,0.183764172,0.073015873,0.032108844,0.04154195,0.007346939,0.02031746,0.035011338,,,9.07E-05,0.000272109,,,,0.005714286,0.022131519,0.117097506,0.232471655,0.297687075,0.21414966,0.036462585,0.001088435,0.001904762,,,,,,,,0.010702948,0.075646259,0.145124717,0.103219955,0.170702948,0.18276644,0.019863946,,,,,,,,,0.017052154,0.052335601,0.051428571,0.06430839,0.010975057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dl.imd(ll),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002539683,,,,,,,,,,,,,,,,0.000816327,,9.07E-05,,,,,,,,,,,,0.001360544,,0.000181406,0.002811791,0.004081633,0.00399093,0.034648526,0.045714286,0.000272109,,0.001723356,,,,,,0.000997732,,,0.001632653,0.010702948,0.070204082,0.163809524,0.249433107,0.278095238,0.053696145,0.000634921,0.006077098,0.007528345,,,,,0.000997732,0.002176871,0.042086168,0.300408163,0.621496599,0.750022676,0.827573696,0.461315193,0.039365079,0.005079365,0.004897959,,,,0.001269841,0.019501134,0.229750567,0.521360544,0.653333333,0.754104308,0.547120181,0.392018141,0.10893424,0.002358277,,,,,0.032743764,0.116099773,0.3230839,0.382947846,0.406802721,0.388027211,0.270929705,0.037641723,0.000997732,0.000272109,,,,0.041632653,0.193378685,0.013333333,0.033650794,0.000453515,0.02430839,0.000816327,0.000544218,,,,,,,
CPi.dm.cd,,0.013877551,0.002811791,,,0.000272109,0.001360544,0.013786848,0.006077098,0.046258503,,,0.000816327,,0.000907029,0.052879819,0.288253968,0.283446712,0.197823129,0.013424036,,,,,,,,0.020861678,0.032108844,0.293424036,0.415510204,0.08861678,0.092517007,0.0338322,0.000544218,,,,,,,,0.001088435,0.00154195,0.02031746,0.048888889,0.127528345,0.535147392,0.400453515,,0.011882086,0.000362812,,,,,,,,,0.000181406,,0.000907029,0.032290249,0.131156463,0.231201814,0.047891156,,,,,,,,,,,,,,,,0.001995465,0.018594104,0.000816327,,,,,,0.001088435,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,0.000816327,,,,,,,0.000816327,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.d,,0.008435374,0.001179138,,,,0.001451247,0.024671202,0.046530612,,,,,,0.000544218,0.006802721,0.019138322,0.043265306,0.03292517,0.015782313,0.005260771,,,,,,0.030113379,0.066213152,0.184399093,0.073922902,0.018412698,0.076099773,0.072199546,0.03047619,,,0.000272109,,,,,,0.108027211,0.34829932,0.624761905,0.635011338,0.197097506,0.052698413,0.04462585,0.047800454,0.010521542,,0.002267574,0.000997732,0.003265306,,,,,0.005442177,0.047437642,0.159002268,0.660680272,0.70984127,0.507301587,0.115555556,0.022585034,9.07E-05,,,,,,,,,,,0.002086168,0.087165533,0.298684807,0.511746032,0.46122449,0.170068027,0.002993197,,,,,,,,,,,0.001723356,0.004444444,0.004081633,0.011337868,,0.006802721,,0.006077098,,,,,,,,0.001179138,,,,0.000907029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.dl,,,,,,,0.006439909,0.001451247,0.000272109,0.002902494,,0.00553288,,,,0.001360544,0.010068027,0.021405896,0.033015873,0.020589569,0.012789116,0.004263039,0.002721088,0.000181406,0.001360544,0.001179138,0.005442177,0.001814059,0.025578231,0.032380952,0.022585034,0.046893424,0.015963719,0.005804989,0.002358277,0.011972789,0.005442177,,0.000453515,,,,0.00399093,0.024399093,0.068752834,0.107301587,0.101587302,0.062222222,0.058412698,0.070566893,0.027120181,0.006077098,0.001451247,0.000725624,,,0.000725624,0.001451247,,0.020045351,0.074195011,0.098231293,0.212517007,0.333968254,0.436462585,0.265941043,0.221315193,0.086077098,0.022857143,0.002902494,0.000997732,0.001088435,0.000453515,0.007981859,,0.000362812,0.000453515,,0.000634921,0.022403628,0.451882086,0.769705215,0.741587302,0.853061224,0.410430839,0.034285714,0.009614512,0.003174603,0.000181406,0.000907029,,0.000181406,0.000181406,0.001360544,,0.05015873,0.30893424,0.720544218,0.882993197,0.728707483,0.400453515,0.045986395,0.016326531,0.003900227,0.001814059,0.000816327,0.001088435,0.000997732,0.00154195,,0.075918367,0.182947846,0.321723356,0.126258503,0.023310658,0.004263039,0.003809524,0.000816327,0.000997732,0.000634921,0.002902494,0.000997732,0.000453515,,0.002358277,0.007709751,0.008435374,0.004263039,0.000907029,9.07E-05,0.000997732,0.001632653,0.000725624,0.000725624,,0.000453515,0.000634921,,0.000634921,0.001269841,0.000181406,0.001632653,0.001632653,0.002358277,0.002176871,,,,,,0.000725624,0.000453515
CPi.dm.dm,,,,,,,0.004353741,,,,,,,0.000816327,0.077913832,0.143401361,0.001814059,0.003718821,0.002176871,0.003446712,,,,,,,0.012698413,0.092970522,0.284897959,0.494512472,0.33414966,0.005442177,,,,0.000181406,,,,,,0.000997732,0.009251701,0.143038549,0.240544218,0.50276644,0.093151927,0.015782313,0.008253968,0.000181406,,,,,,,,,,0.003174603,0.079909297,0.293696145,0.420226757,0.082267574,0.013514739,0.006258503,0.01414966,,,,,,0.000362812,,,,,,,0.014512472,0.00952381,0.031201814,0.005079365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.im,,0.009886621,0.014965986,,,,0.036825397,9.07E-05,0.001904762,,,0.000181406,,,0.001814059,,,0.05877551,0.055056689,0.00244898,0.021587302,0.000816327,,,,,,,0.001360544,0.05414966,0.090793651,0.016598639,,,,,,,,,,,9.07E-05,0.068027211,0.059954649,0.034557823,0.013877551,,0.008253968,,0.000997732,0.000362812,0.000725624,9.07E-05,,,,,,,0.045351474,0.0030839,0.000272109,0.003265306,,,0.000544218,,0.000181406,,,,,,,,,,0.026394558,,,,,0.000816327,,,,,,,,0.000725624,,,,,0.000362812,0.000634921,,,9.07E-05,0.000272109,,,,,,,,,,,0.000816327,0.000181406,,,0.000725624,0.000816327,,,,,,,,0.000816327,,0.001088435,,,0.000725624,,,,,0.000181406,,,,,9.07E-05,,0.000362812,0.000272109,,,,0.000181406,0.000453515,,,
CPi.vl.cvl,,,,,,,0.000272109,,0.003718821,,,,,,,,0.001451247,0.008163265,0.047437642,0.001632653,0.002358277,,,,,,,,,0.005804989,0.007800454,0.111836735,0.309297052,0.157913832,0.04707483,0.010612245,0.009251701,0.000362812,,,,,,0.000816327,0.004807256,0.002902494,0.026303855,0.104489796,0.280272109,0.557460317,0.448798186,0.143582766,0.078911565,0.005170068,,0.006077098,0.000907029,,,,,0.000362812,0.001451247,0.007165533,,0.07292517,0.410884354,0.519909297,0.119818594,0.012698413,0.006712018,0.004353741,0.000544218,,,,,,0.01015873,0.026031746,0.006349206,,,0.000816327,0.037188209,0.079637188,0.033560091,0.001904762,,0.001360544,,,,,,0.017505669,0.017324263,0.000453515,0.006258503,0.009433107,0.000272109,0.005260771,0.010612245,,,,,,,,0.00244898,0.075646259,0.097052154,0.020952381,,0.013514739,0.008707483,,,,,,,,0.003809524,0.015782313,0.003537415,,0.003446712,0.000181406,9.07E-05,9.07E-05,9.07E-05,9.07E-05,,,,,0.000272109,0.008707483,0.001814059,,9.07E-05,,0.000272109,,,,,,,
