,(64:r:89:42),(64:r:89:43),(64:r:89:44),(64:r:89:45),(64:r:89:46),(64:r:89:47),(64:r:90:41),(64:r:90:42),(64:r:90:43),(64:r:90:44),(64:r:90:45),(64:r:90:46),(64:r:90:47),(64:r:90:48),(64:r:90:58),(64:r:91:41),(64:r:91:42),(64:r:91:43),(64:r:91:44),(64:r:91:45),(64:r:91:46),(64:r:91:47),(64:r:91:48),(64:r:91:49),(64:r:91:50),(64:r:91:51),(64:r:91:52),(64:r:91:53),(64:r:91:54),(64:r:91:55),(64:r:91:56),(64:r:91:57),(64:r:91:58),(64:r:92:42),(64:r:92:43),(64:r:92:44),(64:r:92:45),(64:r:92:46),(64:r:92:47),(64:r:92:48),(64:r:92:49),(64:r:92:50),(64:r:92:51),(64:r:92:52),(64:r:92:53),(64:r:92:54),(64:r:92:55),(64:r:92:56),(64:r:92:57),(64:r:93:44),(64:r:93:45),(64:r:93:46),(64:r:93:47),(64:r:93:48),(64:r:93:49),(64:r:93:50),(64:r:93:51),(64:r:93:52),(64:r:93:53),(64:r:93:54),(64:r:93:55),(64:r:93:56),(64:r:93:57),(64:r:94:45),(64:r:94:46),(64:r:94:47),(64:r:94:48),(64:r:94:49),(64:r:94:50),(64:r:94:51),(64:r:94:52),(64:r:94:53),(64:r:94:54),(64:r:94:55),(64:r:94:56),(64:r:95:46),(64:r:95:47),(64:r:95:48),(64:r:95:49),(64:r:95:50),(64:r:95:51),(64:r:95:52),(64:r:95:53),(64:r:95:54),(64:r:95:55),(64:r:95:56),(64:r:96:49),(64:r:96:50),(64:r:96:51),(64:r:96:52),(64:r:96:53)
CPext.rv,,,,,,,,,,,,,,,,,,,,,,,,0.000907029,0.00952381,0.016054422,0.038820862,0.013786848,0.02521542,0.02829932,0.000725624,0.005442177,,,,,,,,,,0.046712018,0.094058957,0.11047619,0.067029478,0.059138322,0.018503401,,,,,,,,,0.00399093,0.011247166,0.020136054,0.007528345,0.013514739,0.008707483,0.005623583,,,0.000725624,0.000544218,0.003356009,0.002630385,0.000816327,0.002267574,,,0.010249433,0.001995465,0.002630385,,0.034013605,0.105759637,0.102222222,0.128798186,0.037369615,0.040453515,0.022403628,0.004716553,0.00707483,,0.043900227,0.062675737,0.052244898,0.050521542,0.0030839
CPc.d.dl,0.001179138,0.030839002,0.068117914,0.074920635,0.019410431,0.00154195,0.008163265,0.225941043,0.403265306,0.574693878,0.527891156,0.532335601,0.360907029,0.043537415,,0.01106576,0.378684807,0.513469388,0.642721088,0.761632653,0.340770975,0.22185941,0.09723356,0.035283447,0.000725624,,,,,,,,,0.000634921,0.240907029,0.315192744,0.399183673,0.078276644,0.049795918,0.012244898,0.0461678,0.000362812,,,,,,,,0.014693878,0.046984127,0.029659864,0.011337868,0.000272109,0.00462585,,,,,,,,,0.004353741,0.02122449,,0.000725624,,,,,,,,,,,,0.002358277,,,,,,,,,,,,
CPc.d.dm,,0.000181406,,0.001814059,0.000362812,,0.047891156,0.318004535,0.367256236,0.574058957,0.627029478,0.301315193,0.231020408,0.028027211,,0.000453515,0.208253968,0.241904762,0.231927438,0.166349206,0.10031746,0.127981859,0.037369615,,,,,,,,,,,,0.001269841,0.026666667,0.013061224,0.001723356,0.000634921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.vm,,,,,,,0.000181406,0.001723356,0.003809524,0.000181406,0.009070295,0.000634921,0.008979592,0.002539683,,,0.003809524,0.011519274,0.010612245,0.051428571,0.030022676,0.056145125,0.153378685,0.067301587,0.000816327,,,,,,,,,,0.04154195,0.036371882,0.004807256,0.029297052,0.017959184,0.028027211,0.005895692,0.012517007,,,0.000362812,,,,,0.055238095,0.02276644,0.02675737,,0.009977324,9.07E-05,,0.000272109,,,,,,,0.004263039,0.020680272,0.000544218,,,,,,,,,,,0.001451247,0.000181406,0.000816327,,,,,,,,,0.000634921,,,
CPext.d,,,,0.081360544,0.002902494,,,0.007709751,0.001814059,,0.046530612,0.025941043,0.122086168,0.005079365,,,0.002086168,0.02984127,0.05968254,0.057777778,0.094965986,0.105034014,0.054693878,0.033741497,0.008888889,,,,,,,,,,0.054603175,0.125623583,0.056689342,0.028117914,,0.014875283,0.006349206,0.002721088,,0.002086168,,,,9.07E-05,,0.029931973,0.049070295,0.109478458,,0.009886621,9.07E-05,,,0.003446712,0.00462585,,,,,0.003446712,0.008072562,0.001088435,,,,0.001451247,,0.000634921,0.008253968,,,,0.000181406,0.011791383,,9.07E-05,0.00952381,,0.005895692,0.004807256,0.000181406,,9.07E-05,,,,
CPext.cv,,,,,,,,,,0.000272109,0.016326531,0.001269841,0.000634921,9.07E-05,,,9.07E-05,0.007346939,0.000272109,,0.004172336,0.01723356,0.016235828,,0.003537415,,0.001451247,,,,0.005260771,0.030022676,0.016326531,,0.00244898,0.002176871,0.020861678,,0.016145125,0.014693878,9.07E-05,0.001269841,0.009795918,0.007437642,,0.005986395,0.003628118,0.002267574,0.017324263,,,,,,,,,,,,0.005804989,0.012789116,0.001360544,,,,,,,,,,,0.005895692,0.009705215,,,0.047256236,0.010702948,0.058049887,0.01569161,0.013696145,0.013061224,0.037641723,0.0030839,0.000272109,,0.000362812,0.003900227,0.00244898,0.001814059
CPc.i.d,,,0.002176871,,,,0.003537415,0.011791383,0.00154195,0.017142857,0.227301587,0.09170068,0.040816327,,,0.000544218,0.025759637,0.153015873,0.008707483,0.249070295,0.319637188,0.103219955,0.074285714,0.019138322,,,,,,,,,,,0.13414966,0.20553288,0.030204082,0.106575964,0.046621315,0.014603175,0.005442177,0.005351474,0.004263039,,,,,,,0.10031746,0.051247166,0.074013605,,0.0030839,0.00462585,0.007165533,,,,,,,,,0.022585034,0.001451247,,0.000725624,,,,,,,,,,,,,,,,,,,,,,,
CPc.i.vl,,,,,,,,,,,,,,0.000362812,,,,,,,,,,0.006893424,0.036734694,0.049070295,0.039818594,0.007981859,,,,,,,,,,,,0.0030839,0.008435374,0.27755102,0.344852608,0.171972789,0.060136054,0.022947846,,,,,,,,,0.018049887,0.401451247,0.217505669,0.039637188,0.019319728,,,,,,0.087437642,0.208163265,0.214693878,0.122902494,0.180680272,0.052970522,0.027664399,0.007891156,0.000272109,0.001723356,,9.07E-05,0.081995465,0.549206349,0.473106576,0.248072562,0.096689342,0.019410431,,0.005260771,,,0.038730159,0.063038549,0.003174603,0.009977324,
CPc.v.vl,,,,,,,,,,,,,,,,,,,,,,,,,,0.012970522,0.025941043,0.01814059,0.057596372,0.029115646,0.000181406,,,,,,,,,,,,0.179863946,0.226213152,0.274557823,0.255147392,0.222040816,0.027845805,,,,,,,0.002811791,9.07E-05,0.061496599,0.080181406,0.034829932,0.089614512,0.240725624,0.025487528,,,,,,0.004353741,0.011519274,0.02276644,0.020136054,0.045895692,0.060408163,0.060770975,0.018956916,,0.000634921,0.033741497,0.187120181,0.413151927,0.413696145,0.50185941,0.40244898,0.204897959,0.052335601,0.00154195,0.063492063,0.161360544,0.204897959,0.102675737,0.013605442
CPc.v.vm,,0.00154195,0.001451247,0.000362812,,,,0.007619048,0.00553288,0.000725624,0.002721088,0.002993197,0.001904762,,0.000997732,,0.000362812,0.008344671,0.001179138,0.001269841,0.002358277,0.000907029,0.008979592,,,,9.07E-05,0.001088435,0.001904762,0.102403628,0.223129252,0.328344671,0.054603175,,,0.001723356,,,0.002902494,0.001269841,,,0.005079365,0.001632653,0.003809524,0.005714286,0.102131519,0.46430839,0.452698413,0.004081633,0.000907029,0.004263039,0.001814059,0.00154195,0.000907029,0.008435374,,,0.002811791,,0.028390023,0.116462585,0.006258503,,0.000816327,,,0.000816327,0.00154195,0.001723356,0.000816327,0.002267574,,0.000816327,0.019591837,,0.004535147,0.024217687,0.024036281,0.022857143,,0.002267574,0.008707483,0.004897959,0.022222222,0.009070295,9.07E-05,0.008888889,0.005895692,0.000907029,0.000453515
CPi.dl.d(tr),,,,,0.003446712,9.07E-05,,0.000453515,0.002358277,0.015238095,0.018594104,0.116371882,0.357460317,0.062857143,,,0.019047619,0.015328798,0.037278912,0.154104308,0.546213152,0.82675737,0.668662132,0.359092971,0.034829932,0.005079365,,,,,,,,,0.12154195,0.578321995,0.580680272,0.898049887,0.419863946,0.690884354,0.417052154,0.180952381,0.002811791,,,,,,,0.298503401,0.84154195,0.814603175,0.573151927,0.257777778,0.132244898,0.075011338,0.000907029,,,9.07E-05,,,,0.040907029,0.236462585,0.231655329,0.027210884,0.016417234,0.000362812,0.000272109,,,,,,,0.003718821,0.050249433,0.030839002,,,,,,,,,,,,
CPi.dl.imd(ll),,,,,,,,,,,,,0.000997732,,,,,,,,0.006439909,,0.000634921,0.055328798,0.035192744,0.099773243,0.042630385,0.017324263,0.000725624,0.000997732,,,,,0.010340136,0.016145125,0.023038549,0.029478458,0.011247166,0.104943311,0.082358277,0.142947846,0.323809524,0.138866213,0.017959184,0.004897959,0.008435374,,,0.005714286,0.107845805,0.070657596,0.119365079,0.269115646,0.154920635,0.166802721,0.022494331,0.01170068,,,,,,0.002176871,0.093605442,0.200181406,0.166439909,0.048435374,0.076553288,,,,,,,,0.011247166,0.000181406,0.001995465,,,,,,,,,,,,
CPi.dm.cd,,0.017868481,,,9.07E-05,,,,,,,0.003174603,,0.028662132,,,,,,,0.004535147,9.07E-05,0.1569161,0.078185941,0.016235828,,,,,,,,,,,,,,,0.011609977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,
CPi.dm.dl,,,,0.00154195,0.001269841,,,,,0.020589569,0.005895692,0.009160998,0.00861678,,,,0.001269841,0.017777778,0.091428571,0.055873016,0.075555556,0.012154195,9.07E-05,0.01723356,0.003174603,,,,,,,,,,,0.009342404,0.062585034,0.085351474,0.029115646,0.016054422,0.005170068,,,,,,,,,0.003174603,0.003174603,0.002176871,0.014331066,0.011609977,0.000907029,,,,,,,,,,,,,,,,,,,,0.000634921,,,,,,,,,,,,,,,,
CPi.dm.dm,,0.062040816,0.057142857,0.001632653,0.000997732,,,,0.09877551,0.133424036,0.015056689,0.024489796,0.000997732,,,,,0.010068027,,,,,,,,,,,,,,,,,0.001451247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.vl.cvl,,,,,,,,,,0.021043084,9.07E-05,,,,,,,0.018684807,,0.003174603,,0.045895692,0.090702948,0.017596372,0.005079365,,,,,,,,,,,,,,0.011519274,0.036462585,0.130068027,0.019229025,9.07E-05,9.07E-05,0.00154195,0.000362812,,,,,0.020952381,0.017868481,0.01877551,0.058049887,0.009886621,0.074376417,,,0.013424036,,,,,0.014965986,0.001995465,0.032743764,0.038367347,0.075283447,0.005260771,,9.07E-05,0.007256236,,,,,0.009705215,0.007437642,,,,0.003174603,0.001632653,,,,,,,9.07E-05,
