,(81:r:75:66),(81:r:75:67),(81:r:75:68),(81:r:76:65),(81:r:76:66),(81:r:76:67),(81:r:76:68),(81:r:76:69),(81:r:77:64),(81:r:77:65),(81:r:77:66),(81:r:77:67),(81:r:77:68),(81:r:77:69),(81:r:78:63),(81:r:78:64),(81:r:78:65),(81:r:78:66),(81:r:78:67),(81:r:78:68),(81:r:78:69),(81:r:79:62),(81:r:79:63),(81:r:79:64),(81:r:79:65),(81:r:79:66),(81:r:79:67),(81:r:79:68),(81:r:79:69),(81:r:80:62),(81:r:80:63),(81:r:80:64),(81:r:80:65),(81:r:80:66),(81:r:80:67),(81:r:80:68),(81:r:80:69),(81:r:81:61),(81:r:81:62),(81:r:81:63),(81:r:81:64),(81:r:81:65),(81:r:81:66),(81:r:81:67),(81:r:81:68),(81:r:81:69),(81:r:82:60),(81:r:82:61),(81:r:82:62),(81:r:82:63),(81:r:82:64),(81:r:82:65),(81:r:82:66),(81:r:82:67),(81:r:82:68),(81:r:83:59),(81:r:83:60),(81:r:83:61),(81:r:83:62),(81:r:83:63),(81:r:83:64),(81:r:83:65),(81:r:83:66),(81:r:83:67),(81:r:84:58),(81:r:84:59),(81:r:84:60),(81:r:84:61),(81:r:84:62),(81:r:84:63),(81:r:84:64),(81:r:84:65),(81:r:84:66),(81:r:85:57),(81:r:85:58),(81:r:85:59),(81:r:85:60),(81:r:85:61),(81:r:85:62),(81:r:85:63),(81:r:85:64),(81:r:85:65),(81:r:86:57),(81:r:86:58),(81:r:86:59),(81:r:86:60),(81:r:86:61),(81:r:86:62),(81:r:86:63),(81:r:86:64),(81:r:87:55),(81:r:87:56),(81:r:87:57),(81:r:87:58),(81:r:87:59),(81:r:87:60),(81:r:87:61),(81:r:87:62),(81:r:87:63),(81:r:88:55),(81:r:88:56),(81:r:88:57),(81:r:88:58),(81:r:88:59),(81:r:88:60),(81:r:88:61),(81:r:88:62),(81:r:89:55),(81:r:89:56),(81:r:90:55)
ACBc,0.097324263,0.297777778,0.018321995,0.080181406,0.601904762,0.884535147,0.428843537,,0.006802721,0.194104308,0.386213152,0.298049887,0.097959184,9.07E-05,0.000181406,0.005351474,0.044535147,0.022857143,0.008253968,,,,,9.07E-05,,,,,,,,,,,,9.07E-05,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.l,0.080272109,0.081995465,,0.114104308,0.359637188,0.250068027,0.155736961,0.000362812,0.033287982,0.570884354,0.607346939,0.34893424,0.146938776,0.022040816,0.085442177,0.285986395,0.423129252,0.223492063,0.152562358,0.044172336,,0.066485261,0.312743764,0.238185941,0.219138322,0.156190476,0.027029478,0.000272109,,0.198367347,0.241632653,0.207619048,0.194739229,0.009977324,0.011156463,,,0.047165533,0.175056689,0.079818594,0.073197279,0.006439909,0.013514739,,,,0.030657596,0.076643991,0.079818594,0.057324263,,,,,0.000362812,,0.031564626,0.003537415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.m,0.199455782,0.287437642,0.083537415,0.15755102,0.58521542,0.420680272,0.072108844,,,0.036825397,0.065124717,0.000544218,,,,0.013151927,0.000907029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPext.rv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001632653,,,,,,,,,,0.011791383,0.000544218,,,,,,0.001179138,,,0.052244898,0.008072562,,,,9.07E-05,0.004172336,0.026031746,,0.001723356,0.069024943,0.005260771,,,,0.009160998,0.060770975,0.027301587,0.016417234,0.192834467,0.225306122,0.028752834,0.005804989,,0.201088435,0.230022676,0.308208617,0.439183673,0.533605442,0.032108844,0.003718821,,,0.12,0.205714286,0.293696145,0.232653061,0.353015873,0.081723356,0.009342404,,0.014058957,0.12399093,0.08462585,,,0.042811791,0.035102041,0.000725624,0.003537415,0.006621315,0.006893424
CPc.d.dl,,,,,,,,,,,,,,,,9.07E-05,0.000453515,0.000453515,,,,,0.000725624,0.029206349,,0.007619048,,,,,0.042358277,0.057324263,0.026213152,0.000181406,,,,0.011791383,0.093514739,0.005079365,0.05260771,0.042721088,0.020952381,,,,0.012789116,0.017777778,0.059773243,0.063310658,0.11292517,0.127437642,0.090975057,0.014331066,,0.006077098,0.001451247,0.025306122,0.037097506,0.06893424,0.402993197,0.415147392,0.100952381,0.022585034,,0.017687075,0.009614512,,,0.139047619,0.62122449,0.464126984,0.063854875,,,0.000544218,0.023219955,0.010884354,0.051882086,0.42585034,0.758095238,0.114195011,,,0.020498866,0.018684807,0.039909297,0.2338322,0.457959184,0.172879819,,,,0.01170068,0.026303855,0.012244898,0.084988662,0.136235828,0.022403628,,,,,,0.011972789,9.07E-05,,,,
CPc.d.dm,0.004716553,0.000544218,,0.000816327,0.010068027,0.010521542,0.004444444,,,0.020770975,0.04,0.038639456,0.031927438,0.009342404,0.001088435,0.020226757,0.14276644,0.235102041,0.132970522,0.027210884,0.010068027,0.002086168,0.007256236,0.012244898,0.155283447,0.366439909,0.257868481,0.120181406,0.088253968,0.004263039,0.000544218,0.001179138,0.061405896,0.558004535,0.724988662,0.463492063,0.137505669,,,0.000362812,0.003628118,0.043900227,0.485351474,0.753015873,0.374965986,0.025034014,,0.001360544,,,,0.039727891,0.581133787,0.841814059,0.172154195,,,,,,0.001269841,0.127891156,0.730521542,0.318548753,,,,,,,0.000997732,0.134058957,0.300680272,,,,,,,0.018049887,0.084172336,0.111927438,,,,,0.001179138,0.007981859,0.099591837,0.06276644,,,,,,0.00244898,0.004444444,0.060861678,0.008163265,,,,,,,0.000544218,,,,
CPc.d.vm,0.002721088,,,0.00462585,0.000907029,0.001451247,,,,0.023492063,0.006530612,0.002176871,,,0.002267574,0.006258503,0.003537415,0.005895692,0.000816327,9.07E-05,,,0.009433107,0.019501134,0.02585034,0.005351474,0.000997732,,,0.009433107,0.030385488,0.010340136,0.045260771,0.021587302,0.006802721,,,0.000997732,0.001814059,0.01814059,0.048435374,0.108208617,0.028662132,0.017324263,0.001179138,,,0.000725624,,0.010612245,0.147301587,0.131247166,0.045804989,0.026122449,0.003265306,0.001814059,0.001179138,0.000725624,0.004807256,0.009160998,0.088979592,0.142040816,0.090340136,0.0461678,,0.00154195,0.001360544,0.001360544,0.006712018,0.011156463,0.265578231,0.452063492,0.039365079,9.07E-05,0.000362812,0.012335601,0.0061678,0.017052154,0.021043084,0.271020408,0.748843537,0.278185941,0.001088435,0.016780045,0.005442177,0.051609977,0.098594104,0.347029478,0.633922902,0.190204082,,0.001179138,0.001179138,0.00861678,0.063854875,0.230294785,0.516553288,0.429931973,0.041904762,0.002358277,0.002176871,,,0.000453515,0.026485261,0.02739229,,,,
CPext.d,,,,,,,,,,,,,,,,,,,,,,,,0.025578231,,,,,,,,,,,,,,0.009977324,0.008435374,0.015328798,0.040272109,,,0.001179138,,,,0.001451247,0.007981859,0.009070295,0.055963719,0.020589569,0.014421769,,,,,9.07E-05,,0.000634921,0.001269841,0.009977324,,,,,,0.020045351,,0.01170068,0.049251701,0.015873016,,0.008253968,0.022312925,,,,0.012335601,0.182131519,0.088979592,0.027120181,0.02675737,0.055238095,0.051247166,,0.053514739,0.097052154,0.068480726,0.061678005,,0.081723356,0.234285714,0.169160998,0.069931973,0.117641723,0.032834467,0.016235828,0.020680272,0.030204082,0.122176871,0.097142857,,,0.02276644,0.017959184,,0.029387755,0.00244898,0.003809524
CPext.cv,,,,,9.07E-05,0.000181406,,,,,,,,,,,,,,9.07E-05,,,0.000181406,,,,,0.000272109,,,,,,,0.000272109,,,,,,,,,,,,,,,,,,,,,,0.000181406,,9.07E-05,,,,,,,,9.07E-05,0.007256236,0.000362812,0.000181406,,,,,,9.07E-05,0.000181406,,0.000181406,,,,,,9.07E-05,9.07E-05,,,,,9.07E-05,0.025941043,0.045079365,0.009342404,0.052335601,0.01814059,0.002811791,,,0.287800454,0.315283447,0.031746032,0.000453515,,,0.005895692,,0.241179138,0.037369615,0.085170068
CPc.i.d,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,0.002993197,,0.000816327,,,,,0.001995465,0.002721088,,,0.000725624,,,,0.000272109,0.004444444,0.004353741,0.005351474,,,,,,,,0.03138322,0.067845805,0.09723356,0.013877551,0.011609977,,,,,0.020589569,0.182222222,0.172063492,0.065034014,0.023945578,0.013514739,,,,0.000544218,0.013151927,0.232290249,0.271564626,0.029569161,,,,,,,0.157913832,0.589659864,0.216961451,0.006802721,0.011337868,0.018412698,,0.001179138,0.003809524,0.441814059,0.408253968,0.033015873,,,0.033197279,0.018684807,0.129886621,0.248979592,0.461315193,0.413061224,0.044535147,,,0.013968254,,0.001360544,0.022857143,0.030839002,,,,
