,(91:r:75:58),(91:r:75:59),(91:r:75:60),(91:r:75:61),(91:r:76:58),(91:r:76:59),(91:r:76:60),(91:r:76:61),(91:r:77:56),(91:r:77:57),(91:r:77:58),(91:r:77:59),(91:r:77:60),(91:r:77:61),(91:r:78:55),(91:r:78:56),(91:r:78:57),(91:r:78:58),(91:r:78:59),(91:r:78:60),(91:r:78:61),(91:r:79:53),(91:r:79:54),(91:r:79:55),(91:r:79:56),(91:r:79:57),(91:r:79:58),(91:r:79:59),(91:r:79:60),(91:r:80:52),(91:r:80:53),(91:r:80:54),(91:r:80:55),(91:r:80:56),(91:r:80:57),(91:r:80:58),(91:r:80:59),(91:r:81:51),(91:r:81:52),(91:r:81:53),(91:r:81:54),(91:r:81:55),(91:r:81:56),(91:r:81:57),(91:r:81:58),(91:r:82:51),(91:r:82:52),(91:r:82:53),(91:r:82:54),(91:r:82:55),(91:r:82:56),(91:r:83:51),(91:r:83:52),(91:r:83:53),(91:r:83:54),(91:r:84:51),(91:r:84:52)
ACBsh.l,0.001904762,0.060952381,0.005623583,,0.242358277,0.463219955,0.135147392,0.104761905,0.024489796,0.195011338,0.259501134,0.166258503,0.257414966,0.081814059,0.023038549,0.170249433,0.138684807,0.109931973,0.004081633,0.008526077,0.014965986,,0.056598639,0.170702948,0.121904762,0.008707483,0.00861678,0.033560091,,,0.04399093,0.152018141,0.165623583,0.011247166,,,0.010068027,,0.047528345,0.120544218,0.254240363,0.104761905,0.002358277,0.000362812,,,0.042902494,0.009070295,0.041179138,0.212789116,0.019138322,,,0.000725624,0.000907029,,
CPext.rv,,,,,,,,,,,,,0.002086168,9.07E-05,,,,0.01478458,0.025941043,0.101768707,0.000544218,,9.07E-05,,,,0.006077098,0.02430839,0.000453515,0.002267574,0.110839002,0.016689342,0.001360544,,0.046984127,0.064852608,0.001723356,,0.006349206,0.327709751,0.460680272,0.12553288,0.062947846,0.121632653,0.004353741,,,0.048435374,0.376780045,0.497414966,0.093424036,,,,0.000725624,,
CPc.d.dl,0.013333333,0.035827664,0.052426304,0.022312925,0.00462585,,0.20707483,0.182947846,,,,0.125623583,0.574240363,0.120816327,,,,,0.16244898,0.399002268,0.01877551,,,,,,0.007981859,0.248344671,0.028208617,,,,,0.022312925,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.dm,,0.05106576,0.02185941,0.006077098,0.271836735,0.690884354,0.310385488,0.205986395,,0.030204082,0.209070295,0.280362812,0.560907029,0.168163265,,0.000453515,0.022222222,0.002811791,0.033106576,0.174512472,0.025941043,,,,,0.006984127,0.004535147,0.006984127,0.009886621,,0.000907029,,,,0.005170068,,,0.005260771,0.203809524,0.11845805,0.127800454,0.026394558,,,,0.049795918,0.491247166,0.381133787,0.287256236,0.004988662,,0.00952381,0.031564626,0.007346939,,,
CPc.d.vm,,,,0.000634921,0.015963719,0.000544218,0.016054422,0.009795918,,0.025578231,0.12553288,0.02984127,0.009160998,,,,0.00707483,0.061678005,0.118548753,,,,,,,0.002176871,0.049433107,0.038185941,,,,,0.00244898,0.009433107,0.038276644,0.003900227,,0.020136054,0.272018141,0.047165533,9.07E-05,0.006712018,0.02122449,0.001088435,,0.276734694,0.727619048,0.679818594,0.477823129,0.074285714,,0.04244898,0.275464853,0.313741497,0.118639456,,
CPext.d,,0.028390023,0.044716553,0.002539683,0.060226757,0.039637188,0.050884354,0.015782313,,,0.047891156,0.014240363,0.069024943,0.062947846,,,,,0.040544218,0.021768707,0.01106576,,,,,,,,,,0.011609977,,,,,,,0.009342404,0.131428571,0.012426304,0.000362812,,,,,0.161814059,0.561723356,0.462857143,0.229659864,0.025941043,9.07E-05,0.000725624,0.158911565,0.260952381,0.153106576,,0.000453515
CPext.cv,,,,,,,,,,,,,0.000181406,,,,,,,,,,0.000453515,,,,,,,0.003265306,0.001179138,0.000362812,9.07E-05,9.07E-05,,,,0.018956916,0.319274376,0.059047619,,,,,,0.288707483,0.70739229,0.374058957,0.017868481,,,0.189206349,0.624852608,0.345306122,0.041360544,0.002267574,0.03845805
CPc.i.d,,,,,,,,,,0.022947846,,,,,,,,,0.014421769,,,,,,,0.000272109,0.13478458,0.029569161,,,,,,0.10739229,0.141496599,0.02585034,,,0.009342404,0.069387755,0.09877551,0.055238095,0.100226757,0.013696145,,,0.040272109,0.062585034,,0.100680272,0.006893424,,,,,,
CPc.i.vl,,,,,,0.005986395,0.002267574,,,0.000544218,0.006077098,0.042993197,,,,,,0.139591837,0.3569161,,,,,,0.051337868,0.296054422,0.709478458,0.262947846,,,,0.010430839,0.042630385,0.223492063,0.656417234,0.462494331,0.021315193,,,,0.02031746,0.142131519,0.302947846,0.223401361,0.004535147,,,,,,,,,,,,
CPc.i.vm,,,,,0.091428571,0.035736961,0.007709751,,0.007619048,0.386485261,0.654058957,0.36244898,0.00462585,,0.024943311,0.198730159,0.275646259,0.608435374,0.440090703,0.032380952,,0.000181406,0.095963719,0.154013605,0.103582766,0.336870748,0.516462585,0.228752834,,0.021950113,0.393287982,0.608798186,0.457777778,0.38739229,0.549387755,0.303219955,0.001179138,,0.145759637,0.467573696,0.821678005,0.774331066,0.613877551,0.269206349,,0.016326531,0.017868481,0.033197279,0.120907029,0.335147392,0.115102041,0.005895692,0.024671202,0.000181406,,,
