,(60:r:77:49),(60:r:77:50),(60:r:77:51),(60:r:77:52),(60:r:77:53),(60:r:77:54),(60:r:78:46),(60:r:78:47),(60:r:78:48),(60:r:78:49),(60:r:78:50),(60:r:78:51),(60:r:78:52),(60:r:78:53),(60:r:78:54),(60:r:78:55),(60:r:78:56),(60:r:79:45),(60:r:79:46),(60:r:79:47),(60:r:79:48),(60:r:79:49),(60:r:79:50),(60:r:79:51),(60:r:79:52),(60:r:79:53),(60:r:79:54),(60:r:79:55),(60:r:79:56),(60:r:80:43),(60:r:80:44),(60:r:80:45),(60:r:80:46),(60:r:80:47),(60:r:80:48),(60:r:80:49),(60:r:80:50),(60:r:80:51),(60:r:80:52),(60:r:80:53),(60:r:80:54),(60:r:80:55),(60:r:80:56),(60:r:80:57),(60:r:81:41),(60:r:81:42),(60:r:81:43),(60:r:81:44),(60:r:81:45),(60:r:81:46),(60:r:81:47),(60:r:81:48),(60:r:81:49),(60:r:81:50),(60:r:81:51),(60:r:81:52),(60:r:81:53),(60:r:81:54),(60:r:81:55),(60:r:81:56),(60:r:81:57),(60:r:82:41),(60:r:82:42),(60:r:82:43),(60:r:82:44),(60:r:82:45),(60:r:82:46),(60:r:82:47),(60:r:82:48),(60:r:82:49),(60:r:82:50),(60:r:82:51),(60:r:82:52),(60:r:82:53),(60:r:82:54),(60:r:82:55),(60:r:82:56),(60:r:82:57),(60:r:82:58),(60:r:83:41),(60:r:83:42),(60:r:83:43),(60:r:83:44),(60:r:83:45),(60:r:83:46),(60:r:83:47),(60:r:83:48),(60:r:83:49),(60:r:83:50),(60:r:83:51),(60:r:83:52),(60:r:83:53),(60:r:83:54),(60:r:83:55),(60:r:83:56),(60:r:83:57),(60:r:83:58),(60:r:84:42),(60:r:84:43),(60:r:84:44),(60:r:84:45),(60:r:84:46),(60:r:84:47),(60:r:84:48),(60:r:84:49),(60:r:84:50),(60:r:84:51),(60:r:84:52),(60:r:84:53),(60:r:84:54),(60:r:84:55),(60:r:84:56),(60:r:84:57),(60:r:84:58),(60:r:84:59),(60:r:85:43),(60:r:85:44),(60:r:85:45),(60:r:85:46),(60:r:85:47),(60:r:85:48),(60:r:85:49),(60:r:85:50),(60:r:85:51),(60:r:85:52),(60:r:85:53),(60:r:85:54),(60:r:85:55),(60:r:85:56),(60:r:85:57),(60:r:85:58),(60:r:85:59),(60:r:86:44),(60:r:86:45),(60:r:86:46),(60:r:86:47),(60:r:86:48),(60:r:86:49),(60:r:86:50),(60:r:86:51),(60:r:86:52),(60:r:86:53),(60:r:86:54),(60:r:86:55),(60:r:86:56),(60:r:86:57),(60:r:86:58),(60:r:86:59),(60:r:87:45),(60:r:87:46),(60:r:87:47),(60:r:87:48),(60:r:87:49),(60:r:87:50),(60:r:87:51),(60:r:87:52),(60:r:87:53),(60:r:87:54),(60:r:87:55),(60:r:87:56),(60:r:87:57),(60:r:87:58),(60:r:87:59),(60:r:88:46),(60:r:88:47),(60:r:88:48),(60:r:88:49),(60:r:88:50),(60:r:88:51),(60:r:88:52),(60:r:88:53),(60:r:88:54),(60:r:88:55),(60:r:88:56),(60:r:88:57),(60:r:88:58),(60:r:88:59),(60:r:89:47),(60:r:89:48),(60:r:89:49),(60:r:89:50),(60:r:89:51),(60:r:89:52),(60:r:89:53),(60:r:89:54),(60:r:89:55),(60:r:89:56),(60:r:89:57),(60:r:90:50),(60:r:90:51),(60:r:90:52),(60:r:90:53),(60:r:90:54)
ACBc,,0.000634921,,0.006258503,0.017324263,0.006530612,,,0.004807256,0.002176871,0.017324263,,0.024036281,0.258594104,0.075102041,0.024126984,0.007981859,,,,,0.000453515,0.002358277,,0.002176871,0.049977324,0.092789116,0.106938776,0.101587302,,,,,,,9.07E-05,9.07E-05,,,,0.003265306,0.153560091,0.173333333,0.021587302,9.07E-05,,,0.005170068,,,,,,,9.07E-05,,,,0.005714286,0.006621315,0.039183673,,0.003174603,,0.000544218,,,,9.07E-05,,,,,,,0.000997732,0.004535147,,0.004263039,,0.003809524,,,,,,,,,,,,,,,,0.001632653,,,,,,,,,,,,,,,,,0.001179138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.l,,,,,,,,,,,,,0.000272109,,0.008888889,0.020952381,0.002267574,,,,,,,,,0.013968254,0.063673469,0.036281179,0.088072562,,,,,,,,,,0.001360544,0.012154195,0.085079365,0.068752834,0.131156463,0.10893424,,,,,,,,,,,0.000544218,0.001632653,0.038911565,0.040997732,0.119637188,0.096780045,0.283900227,,,,,,,,,,,,0.000181406,0.00399093,0.072018141,0.118004535,0.336235828,0.403628118,0.025034014,,,,,,,,,,,0.000816327,0.019410431,0.003265306,0.101496599,0.122539683,0.168888889,0.565170068,0.266031746,,,,,,,,,,,,,0.012335601,0.081723356,0.196099773,0.364081633,0.514920635,0.010702948,,,,,,,,,,,,0.036734694,0.004353741,0.038911565,0.173696145,0.434013605,0.169070295,,,,,,,,,,,0.010068027,0.001269841,0.010975057,0.03845805,0.159274376,0.163446712,,,,,,,,,,,,,0.001451247,0.069024943,0.049342404,,,,,,,,,,,,0.004897959,,,,,,,,,,,,,,,,,,
ACBsh.m,,,,,,,,,,,,,,0.015238095,0.024217687,0.002358277,,,,,,,,,,0.019501134,0.059229025,0.022947846,0.031836735,9.07E-05,9.07E-05,,,,,,,,,0.00244898,0.049795918,0.051337868,0.05260771,0.017324263,,0.000181406,0.000725624,0.000181406,,,,,,,,,,,0.001723356,0.106122449,0.078730159,,9.07E-05,0.000362812,0.000181406,,,,,,,,,,,,0.027664399,0.059047619,0.009070295,,,9.07E-05,0.000453515,,,,,,,,,,,0.003537415,0.005442177,0.009433107,0.024399093,,0.000544218,0.000816327,,,,,,,,,,,,,0.002993197,0.007891156,0.000181406,9.07E-05,0.000453515,,,,,,,,,,,,,0.004807256,0.007346939,0.007981859,,,,,,,,,,,,,,9.07E-05,0.007165533,0.002539683,,,,,,,,,,,,9.07E-05,9.07E-05,0.002811791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.dl,,,,,,,,,,,,,,,,,,,,,,,0.007165533,0.03446712,,,,,,,,,,,,,,0.003809524,,,,,,,,0.000816327,,,,,,0.006893424,0.011337868,,0.004263039,0.001360544,0.040634921,,,,,,,,0.001632653,,,,0.001360544,0.007346939,0.038095238,0.049251701,0.041451247,0.064489796,0.000362812,,,,,,,0.002267574,0.007528345,,0.001088435,0.000453515,0.033287982,0.046349206,0.192380952,0.104217687,0.065668934,0.049160998,0.01414966,,,,,,0.006802721,0.035464853,0.0861678,0.078911565,0.002902494,0.020498866,0.084353741,0.056780045,,0.004353741,,,,,,,,,0.002902494,0.082811791,0.11292517,0.044172336,0.056961451,0.007709751,0.024761905,0.006621315,,0.00244898,,,,,,,,0.068390023,0.093514739,0.225124717,0.127800454,0.027301587,0.002993197,,,,,,,,,,0.000544218,0.025306122,0.026575964,0.053514739,0.009433107,0.004988662,,,,,,,,,,,0.005804989,0.002176871,0.020680272,,,,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.dm,,,,,,,,0.001451247,0.023310658,0.035192744,0.012154195,0.000544218,0.000453515,,,,,,0.003628118,0.108390023,0.10521542,0.06430839,0.02675737,0.020589569,0.005714286,,0.001179138,,,,0.005895692,0.007165533,0.063129252,0.251247166,0.090521542,0.014058957,0.005804989,0.029387755,,,,,0.002993197,,0.001632653,0.016598639,0.004081633,9.07E-05,9.07E-05,0.024580499,0.044988662,0.031111111,0.012970522,0.006439909,0.001360544,0.001723356,,,,,,0.07047619,0.333605442,0.066031746,0.013877551,,,0.003446712,0.002721088,0.009433107,0.008707483,0.003900227,,0.001814059,,,,,,0.000272109,0.137596372,0.192743764,0.036099773,,,,,0.00154195,,0.006712018,,,9.07E-05,,,,,,0.001995465,0.000725624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004353741,,,0.000816327,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,0.001360544,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.vm,,0.002630385,0.000725624,0.000544218,9.07E-05,9.07E-05,,,0.005170068,0.0061678,0.032653061,0.047346939,0.048435374,0.03138322,0.021133787,0.013151927,,,,9.07E-05,0.001814059,0.019954649,0.053061224,0.046077098,0.035283447,0.019138322,0.014331066,0.004807256,0.002267574,,0.000181406,,,0.000362812,0.001904762,0.002811791,0.012063492,0.04,0.005079365,0.009705215,0.004081633,0.002993197,0.000362812,,0.004535147,0.00154195,0.036825397,0.01324263,,,0.000272109,,,0.000453515,0.006621315,0.004716553,0.015873016,0.005623583,0.009251701,,,0.016417234,0.056145125,0.005442177,0.001995465,,0.000453515,,,9.07E-05,,0.000816327,0.002176871,0.002993197,0.002176871,0.000725624,0.001088435,0.003718821,,0.000272109,0.046621315,0.009795918,0.015056689,0.003174603,,,,,,0.00707483,0.000725624,0.000907029,0.001269841,0.000634921,0.000725624,0.001179138,0.001904762,0.000544218,0.124353741,0.0830839,0.006802721,,0.0061678,,0.000362812,0.000362812,,,,0.001088435,0.000181406,0.000997732,,,,0.037732426,0.07537415,0.018412698,0.000272109,0.001179138,,0.000816327,,0.008798186,,0.000272109,,,,,,,0.015419501,0.14585034,0.031111111,0.003809524,,,0.000997732,0.012154195,,,,,,,,,0.002267574,0.038185941,0.011519274,0.000634921,,,,,0.000272109,,0.000181406,,,,,0.001723356,0.026666667,0.009614512,,,,,,,0.000272109,,,,,,0.006712018,,,,,0.009433107,,,,,,,,0.002358277,
CPext.d,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,0.000181406,,,,,,,,,,,,,0.000181406,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,0.000544218,,,,,,,,,,,,,,,,,,0.019410431,0.012426304,,,,,,,,,,,,0.000362812,,,,0.01414966,0.012244898,,,,,,,,,,0.008072562,0.010884354,,,,,0.056326531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000907029,0.001632653,,9.07E-05,,,0.001632653,,,,0.001360544,,,
CPext.cv,,,,,,,,,,,,,,,,,,,,,,,,,0.001632653,0.006712018,,,,,,,,,,,,0.002267574,0.008253968,,,,9.07E-05,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002267574,,,,,,,,,,9.07E-05,,,,,,,,0.000816327,,,,,,,,,,,,,,,,9.07E-05,0.002539683,,0.000181406,,,,,,,,9.07E-05,,,,,0.008707483,0.007891156,0.006621315,,,,,,,,,,,0.001904762,,0.006077098,0.015782313,0.007981859,,,,,,,,,,9.07E-05,0.008979592,0.008526077,0.005079365,,,,,0.020408163,0.012879819,,,0.012154195,0.007256236,,,,9.07E-05,,,
CPc.i.vm,,,,,,,,,,,,,0.032743764,0.006802721,,,,,,,0.002176871,0.001088435,0.018321995,0.02521542,0.026213152,0.058594104,0.033197279,0.025396825,0.037460317,,,,,,,0.001723356,0.001723356,,0.016326531,0.091972789,0.128253968,0.062222222,0.013605442,,,,,,,,,,,,,,0.14893424,0.058503401,0.002630385,0.000816327,0.014965986,,,,,,,,,,,,,0.002993197,,,,0.012244898,,,,,,,,,,,,,,,,,,0.006349206,,,,,,,,,,,,,,,,,0.007256236,0.010249433,,,,,,,,,,,,,,,,,0.002902494,,,,,,,,,,,,,,,0.002358277,,,,,,,,,,,,,,,,,,,,,,,,,,0.017596372,,,,,,,,,,,,,0.025034014,,,,,,,,
CPc.v.vm,,0.001632653,0.003174603,0.004263039,0.011519274,0.000816327,,0.002267574,0.002630385,0.001451247,0.020408163,0.0061678,0.008072562,0.004081633,0.006893424,0.007800454,,0.003356009,0.004807256,0.003537415,0.002811791,0.001632653,0.00861678,0.005442177,0.001632653,0.00399093,0.001723356,0.014603175,0.009251701,,0.001451247,0.020498866,0.006893424,0.008344671,0.009433107,0.003537415,0.009614512,0.009070295,0.014240363,0.01170068,0.010521542,0.009977324,0.041904762,0.037732426,0.011791383,0.000816327,0.001179138,0.007256236,0.000181406,0.004807256,0.01324263,0.000544218,0.011882086,0.01015873,0.007346939,0.014693878,0.003174603,0.019591837,0.034285714,0.169070295,0.064671202,0.023492063,0.020045351,0.004988662,0.012426304,0.003446712,,0.008072562,0.025941043,0.008435374,0.02829932,0.026122449,0.025034014,0.036190476,0.027301587,0.078276644,0.250884354,0.184852608,0.057777778,,0.037188209,0.008526077,0.028752834,0.002539683,0.0030839,,0.004444444,0.007981859,0.022675737,0.03446712,0.056689342,0.005170068,0.024217687,0.02675737,0.12,0.26031746,0.23047619,0.002539683,0.015600907,0.002721088,0.001088435,0.01260771,,9.07E-05,,0.005079365,0.023492063,0.007619048,0.032653061,0.020226757,0.025759637,0.066394558,0.132970522,0.181405896,0.001360544,0.00462585,0.004988662,0.003265306,0.003718821,0.000272109,0.000634921,0.005079365,0.013696145,0.028208617,0.069931973,0.006439909,0.013968254,0.085804989,0.053877551,0.110204082,0.094058957,0.030294785,0.002086168,0.02739229,0.00154195,0.005714286,0.000272109,,0.006258503,0.018049887,0.037913832,0.005623583,0.033015873,0.028843537,0.055782313,0.118548753,0.233378685,0.148208617,0.000725624,0.004172336,,,0.000544218,0.005895692,0.002902494,0.011519274,0.00154195,0.021768707,0.06031746,0.080725624,0.136689342,0.036825397,,0.000181406,0.005260771,0.003446712,0.001088435,0.002539683,0.000544218,0.007437642,0.017324263,0.031473923,0.06521542,0.127800454,0.042539683,,,,0.075646259,0.055419501,0.194829932,0.162539683,0.060226757,0.099501134,0.061315193,0.059863946,0.057324263,,0.017596372,0.093514739,0.137052154,0.108480726,0.004535147
CPi.dl.d(tr),,,0.000272109,,,,,,,0.000181406,,0.000272109,0.000453515,9.07E-05,0.000544218,,,,0.000272109,0.000181406,0.001088435,0.000362812,0.000272109,0.000181406,0.000181406,0.001269841,0.000181406,9.07E-05,,,,0.000907029,0.000181406,,,0.001632653,0.001360544,0.000362812,0.004353741,0.000181406,0.001814059,,9.07E-05,,,,0.000362812,0.000362812,,9.07E-05,0.000272109,0.001360544,0.005986395,0.01106576,0.000544218,0.002086168,0.000362812,0.000997732,,0.000362812,,,0.010793651,0.0061678,0.002811791,0.018231293,0.008072562,0.011519274,0.031746032,0.245804989,0.279727891,0.056507937,0.000997732,0.000181406,9.07E-05,0.000725624,,,,,0.000544218,0.009251701,0.032380952,0.153015873,0.166621315,0.228117914,0.302857143,0.573424036,0.371428571,0.296780045,0.049705215,0.000634921,0.000907029,0.000362812,,0.000453515,,0.000544218,0.020408163,0.231655329,0.093786848,0.345941043,0.676734694,0.613151927,0.580045351,0.251972789,0.221678005,0.064943311,0.010521542,0.000997732,,0.000816327,9.07E-05,,,0.025306122,0.034285714,0.131882086,0.626938776,0.662222222,0.5938322,0.458684807,0.163265306,0.075918367,0.01723356,0.013061224,0.002993197,0.000725624,0.000181406,0.000453515,0.000272109,0.000362812,0.00952381,0.139138322,0.181043084,0.147936508,0.30521542,0.082811791,0.045895692,0.008707483,0.00244898,0.000272109,0.004444444,0.002176871,0.003718821,0.000453515,,,0.009070295,0.066213152,0.019501134,0.018049887,0.011972789,0.028027211,0.003174603,0.001904762,0.002086168,0.001995465,0.001723356,0.001088435,0.000725624,0.001088435,9.07E-05,9.07E-05,,0.000181406,0.001814059,0.002086168,0.001451247,0.00553288,0.004897959,0.007165533,0.004263039,0.002176871,0.000362812,0.000362812,,,,0.000181406,0.001995465,0.000544218,0.001088435,0.001632653,0.001995465,0.002539683,0.000907029,,,0.000725624,,,
CPi.dl.d.r,,,,,0.000362812,,,,,,,,9.07E-05,9.07E-05,0.000181406,,,9.07E-05,0.000544218,0.004263039,,0.00244898,0.000634921,0.001269841,0.000634921,0.000634921,0.000997732,0.01324263,0.000453515,,0.002811791,0.001904762,0.000634921,0.003356009,0.000997732,0.002630385,0.001995465,0.009160998,0.044807256,0.016145125,0.034195011,0.031111111,0.012789116,,,0.000362812,0.000997732,0.001632653,0.002902494,0.000544218,0.002176871,0.005714286,0.048798186,0.077097506,0.192653061,0.098503401,0.051791383,0.043537415,0.010340136,0.026213152,0.001451247,,9.07E-05,0.001269841,0.003900227,0.006530612,0.019319728,0.076643991,0.093514739,0.096417234,0.077823129,0.113741497,0.187573696,0.032471655,0.033922902,0.018321995,0.002539683,0.004172336,,,0.002358277,0.003174603,0.006258503,0.003446712,0.020226757,0.119002268,0.418049887,0.302947846,0.247800454,0.135873016,0.268571429,0.157188209,0.105306122,0.06739229,0.009251701,0.001088435,0.000544218,,0.017687075,0.059229025,0.042993197,0.015419501,0.338412698,0.702675737,0.668843537,0.489977324,0.192562358,0.173333333,0.097052154,0.132698413,0.031292517,0.000272109,0.000634921,0.001904762,,0.021496599,0.172426304,0.26430839,0.282176871,0.415147392,0.472743764,0.550839002,0.381768707,0.21968254,0.086893424,0.016780045,0.002539683,0.004897959,9.07E-05,0.00244898,0.000272109,,0.026031746,0.132244898,0.243356009,0.114739229,0.182222222,0.15755102,0.059501134,0.01170068,0.029931973,0.034920635,0.002902494,0.001723356,0.001088435,0.001179138,0.000634921,0.000272109,0.001269841,0.067664399,0.043718821,0.038730159,0.028480726,0.038730159,0.005079365,0.005442177,0.006984127,0.005351474,0.00462585,0.004988662,0.000272109,0.001995465,0.000816327,,0.007165533,0.005170068,0.000634921,0.003628118,0.002267574,0.001360544,0.001451247,0.00154195,0.000907029,0.000181406,0.000453515,,,,,0.000544218,,0.000362812,0.000272109,0.000181406,,0.000181406,0.000181406,,,,,,
CPi.dl.imd(ll),,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,0.000181406,,,,,,,,,,,,,,0.000544218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000181406,,,,,,,0.001269841,0.079365079,0.001269841,,,,,,,,,0.015600907,0.008435374,,,,0.019410431,0.214875283,0.270566893,0.135238095,0.033650794,,,,,,,,0.010702948,0.016417234,0.000997732,,0.026666667,0.315646259,0.361723356,0.309569161,0.344852608,0.14031746,0.059138322,0.001723356,,,,9.07E-05,0.060408163,0.065396825,0.091972789,0.039274376,0.106122449,0.313106576,0.168253968,0.371609977,0.352471655,0.176598639,0.01170068,0.036099773,0.035736961,0.002630385,,0.001723356,0.041723356,0.100952381,0.117732426,0.187845805,0.048072562,0.140226757,0.126077098,0.055419501,0.044535147,0.081814059,0.054240363,0.032290249,0.005986395,0.014421769,0.015782313,0.111836735,0.088344671,0.022947846,,0.025306122,0.002267574,,,,0.004172336,0.006530612,0.004807256,,0.000362812,0.06430839,0.019410431,0.001179138,0.021496599,0.004988662,,,,,,,0.003446712,,,
CPi.dm.cd,0.000453515,0.004988662,0.00952381,,,0.006077098,,0.104852608,0.222312925,0.201814059,0.058594104,0.024126984,0.000453515,0.001088435,0.004897959,,,0.009886621,0.039909297,0.329433107,0.5969161,0.712743764,0.519546485,0.349659864,0.020498866,0.033106576,0.010884354,0.001360544,,,0.003265306,0.011791383,0.062312925,0.375510204,0.692244898,0.929977324,0.727891156,0.257596372,0.039092971,0.026848073,,,0.000816327,,,,0.001451247,0.012698413,0.005623583,0.009705215,0.081995465,0.265034014,0.410702948,0.206530612,0.046530612,0.011791383,,,,,,0.001632653,0.060498866,0.01723356,,0.002267574,0.001360544,0.013696145,0.114557823,0.11845805,0.045260771,0.002539683,0.008344671,,,,,,,,0.070929705,0.056598639,0.002358277,0.002721088,,,0.000181406,0.005804989,,0.002267574,,,,,,,,0.007256236,0.07047619,0.031201814,,9.07E-05,,,,0.00244898,,,,,,,,,,0.051791383,0.01569161,,,,,,,,,,,,,,,,,0.006077098,,,,,,,0.001088435,0.001451247,,,,,,,,,,,,,,,0.000544218,,,,,,,,,,,0.000997732,,,,,,,,0.001269841,,,,,,,,,,,,,,,,,
