,(66:r:89:45),(66:r:89:46),(66:r:89:54),(66:r:89:55),(66:r:90:41),(66:r:90:42),(66:r:90:43),(66:r:90:44),(66:r:90:45),(66:r:90:46),(66:r:90:47),(66:r:90:48),(66:r:90:49),(66:r:90:50),(66:r:90:51),(66:r:90:52),(66:r:90:53),(66:r:90:54),(66:r:90:55),(66:r:91:40),(66:r:91:41),(66:r:91:42),(66:r:91:43),(66:r:91:44),(66:r:91:45),(66:r:91:46),(66:r:91:47),(66:r:91:48),(66:r:91:49),(66:r:91:50),(66:r:91:51),(66:r:91:52),(66:r:91:53),(66:r:91:54),(66:r:91:55),(66:r:92:40),(66:r:92:41),(66:r:92:42),(66:r:92:43),(66:r:92:44),(66:r:92:45),(66:r:92:46),(66:r:92:47),(66:r:92:48),(66:r:92:49),(66:r:92:50),(66:r:92:51),(66:r:92:52),(66:r:92:53),(66:r:92:54),(66:r:92:55),(66:r:93:41),(66:r:93:42),(66:r:93:43),(66:r:93:44),(66:r:93:45),(66:r:93:46),(66:r:93:47),(66:r:93:48),(66:r:93:49),(66:r:93:50),(66:r:93:51),(66:r:93:52),(66:r:93:53),(66:r:93:54),(66:r:93:55),(66:r:94:42),(66:r:94:43),(66:r:94:44),(66:r:94:45),(66:r:94:46),(66:r:94:47),(66:r:94:48),(66:r:94:49),(66:r:94:50),(66:r:94:51),(66:r:94:52),(66:r:94:53),(66:r:94:54),(66:r:94:55),(66:r:95:44),(66:r:95:45),(66:r:95:46),(66:r:95:47),(66:r:95:48),(66:r:95:49),(66:r:95:50),(66:r:95:51),(66:r:95:52),(66:r:95:53),(66:r:95:54),(66:r:96:47),(66:r:96:48),(66:r:96:49),(66:r:96:50),(66:r:96:51)
CPext.rv,,,,,,,,,,,0.000816327,,0.039546485,0.022494331,0.044897959,0.159365079,0.122630385,0.025124717,0.010793651,,,,,,,0.002721088,0.011791383,0.12553288,0.687981859,0.760816327,0.851428571,0.666303855,0.26893424,0.021043084,,,0.003356009,,,,,0.016961451,0.01260771,0.109206349,0.624671202,0.660589569,0.351111111,0.218956916,0.099229025,0.01478458,0.000181406,,0.005260771,,,,0.005442177,0.049614512,0.107936508,0.238548753,0.286621315,0.231292517,0.102040816,0.030657596,0.004807256,0.003809524,0.000544218,0.000725624,0.01414966,0.064399093,0.24244898,0.383129252,0.566530612,0.414693878,0.440907029,0.197369615,0.137414966,0.017414966,0.003537415,,0.00861678,0.117913832,0.377777778,0.77569161,0.891337868,0.738412698,0.796553288,0.429569161,0.092789116,0.000272109,,0.00244898,0.001269841,0.069206349,0.050521542,0.003900227
CPc.d.dl,,0.001723356,,,,,0.001088435,0.001451247,0.072199546,0.118004535,0.208163265,0.026575964,,,0.004807256,0.000453515,,,,,,0.003446712,0.008707483,0.12399093,0.214965986,0.153469388,0.18430839,0.013696145,0.000272109,,0.001451247,9.07E-05,,,,,0.000997732,0.013061224,0.006712018,0.183854875,0.037913832,0.037369615,0.023492063,,0.006530612,,,,,,,,0.003628118,0.003900227,0.000544218,,,,,,,,,,,,,,0.000816327,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPc.d.dm,,,,,0.00154195,0.164353741,0.147755102,0.059591837,0.107120181,0.17968254,0.000453515,,,,,,,,,0.006984127,0.43755102,0.76,0.415782313,0.06276644,0.024126984,,0.003265306,,,,,,,,,0.014058957,0.313106576,0.078367347,0.059047619,0.029297052,0.002176871,,,,0.000544218,0.000272109,,,,,,0.006621315,,,0.002086168,0.000544218,,,,,,,,,,,,,,,,,,,,,0.000997732,0.000816327,,,,,,,,,0.000453515,,,,,,,,,
CPc.d.vm,0.003174603,0.010340136,,,,0.029115646,0.194557823,0.433197279,0.704217687,0.564263039,0.253514739,0.211247166,0.122811791,0.023854875,0.004263039,0.009614512,0.000725624,9.07E-05,,0.002358277,0.045442177,0.062040816,0.217777778,0.579410431,0.617777778,0.842993197,0.79537415,0.634739229,0.530793651,0.418503401,0.15755102,0.040090703,0.007165533,0.001088435,,0.004444444,0.226575964,0.268027211,0.140680272,0.220045351,0.331519274,0.477913832,0.255147392,0.114648526,0.040725624,0.080090703,0.031655329,0.008526077,0.001451247,0.003628118,0.001088435,0.005442177,0.220680272,0.240362812,0.065124717,0.038004535,0.022131519,0.048798186,0.01260771,0.000634921,0.00399093,0.000634921,0.006802721,0.004444444,0.000725624,0.002630385,,0.03845805,0.15755102,0.020770975,0.005260771,0.002811791,,,0.005895692,0.000272109,0.000362812,0.000453515,0.000362812,,0.01569161,0.020861678,0.012063492,0.00462585,0.002086168,0.000544218,,0.000362812,9.07E-05,,,,,,0.000272109,
CPext.d,,,,,,,0.003537415,0.091247166,0.275464853,0.239002268,0.312471655,0.175147392,0.005442177,0.000725624,0.001088435,0.007256236,,0.001269841,,,0.0030839,0.041995465,0.271836735,0.438820862,0.590929705,0.488526077,0.387936508,0.12952381,0.040816327,0.022585034,0.016598639,0.008072562,0.008163265,0.002358277,,,0.052517007,0.181315193,0.395827664,0.404988662,0.459954649,0.324897959,0.085623583,0.001995465,0.018503401,0.036371882,0.018503401,0.012154195,0.006802721,0.004263039,0.000272109,0.054331066,0.170612245,0.261043084,0.379229025,0.332879819,0.223854875,0.058049887,0.004807256,0.016054422,0.011428571,0.000544218,0.001632653,0.003900227,0.000181406,,0.021496599,0.132517007,0.150657596,0.228480726,0.104852608,0.02984127,0.021405896,0.03446712,0.025578231,0.001088435,0.006349206,,,,0.008888889,0.048253968,0.017596372,0.011337868,0.012698413,0.015056689,0.012063492,0.000725624,,,,,0.000725624,,,
CPext.cv,,,,0.000272109,,0.006077098,,0.006802721,,0.005895692,0.030839002,0.001995465,0.000544218,0.011972789,0.02675737,0.118911565,0.077188209,0.100136054,0.051156463,,0.000181406,0.018594104,0.035283447,0.006258503,0.007619048,0.030022676,0.030385488,0.020226757,0.07138322,0.123718821,0.218684807,0.313197279,0.286439909,0.197823129,0.054693878,,,0.007437642,0.033922902,0.013877551,0.015600907,0.009070295,0.012426304,0.007891156,0.02739229,0.040362812,0.04244898,0.170702948,0.27755102,0.240816327,0.102857143,0.00462585,0.024036281,,0.00154195,0.00553288,0.002539683,0.019954649,0.002721088,0.000272109,0.003356009,0.048344671,0.119274376,0.149931973,0.278911565,0.104399093,,0.000816327,0.011791383,,0.011882086,0.004444444,0.009886621,0.012517007,,0.026575964,0.053605442,0.149659864,0.178231293,0.002811791,0.00462585,0.002539683,0.004807256,0.006349206,0.00707483,0.02031746,0.056507937,0.08399093,0.102585034,0.036553288,,0.001179138,0.008979592,0.011882086,0.006530612,0.002267574
CPc.i.d,0.000544218,0.004988662,,,,0.010793651,0.026666667,0.213696145,0.222494331,0.282176871,0.08154195,0.001088435,,,,,,,,,,0.007709751,0.215510204,0.426213152,0.431020408,0.115918367,0.049070295,,0.002902494,,,,,,,,0.000725624,0.111836735,0.310748299,0.374512472,0.091156463,0.009886621,0.019319728,0.016598639,0.000453515,,,,,0.000544218,,0.010430839,0.221768707,0.203446712,0.294603175,0.09478458,0.000181406,,0.000544218,,,,,,,,,0.027664399,0.001995465,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPc.i.vl,,,,,,,,,,0.001360544,,0.040272109,0.064580499,0.023492063,0.019229025,0.014603175,0.060498866,,,,,,0.001088435,,0.004807256,0.030022676,0.10984127,0.307664399,0.42739229,0.586303855,0.232199546,0.070929705,0.018049887,0.004807256,,,,0.001269841,0.000816327,9.07E-05,0.09723356,0.258956916,0.648344671,0.649251701,0.656870748,0.286439909,0.082630385,0.030748299,0.002358277,0.002176871,,,0.000272109,0.005170068,0.023764172,0.153469388,0.587845805,0.808707483,0.923900227,0.681723356,0.384761905,0.382222222,0.086530612,0.013696145,,,,0.005895692,0.093877551,0.304036281,0.537959184,0.821950113,0.902585034,0.657324263,0.522539683,0.359002268,0.040997732,0.016870748,0.007256236,,,0.102947846,0.432290249,0.509569161,0.350748299,0.318367347,0.264217687,0.076825397,0.027029478,0.004535147,,0.000362812,0.00244898,0.003900227,0.002267574,
CPc.i.vm,,,,,,,,,0.007437642,0.063038549,0.066848073,0.09723356,0.043446712,0.002176871,0.002993197,0.012970522,0.002902494,0.019229025,0.006258503,,,,,0.002539683,0.112108844,0.181133787,0.158185941,0.185306122,0.110022676,0.055782313,0.0061678,0.004807256,0.006077098,0.000997732,0.003174603,,,,,,0.090975057,0.181405896,0.127709751,0.094875283,0.020770975,,,,,,,,,,,0.000181406,0.0369161,0.010068027,0.044081633,0.00154195,,,,,,0.000181406,,,,,0.00952381,0.013333333,0.003356009,0.007709751,0.002902494,,,,,,,,0.036553288,0.021315193,0.014421769,0.001723356,,0.00553288,0.002902494,,,,,0.001723356,,
CPc.v.vl,,,0.001088435,,,,,,,,,0.000634921,0.001451247,0.000634921,0.013424036,0.101133787,0.141496599,0.024489796,,,,,,,,,,0.000362812,0.068208617,0.176689342,0.57260771,0.628571429,0.33260771,0.028480726,,,,,,,,,,0.016145125,0.387845805,0.660861678,0.616870748,0.595464853,0.311292517,0.074104308,,,,,,,0.000453515,0.004988662,0.008707483,0.33106576,0.493968254,0.549024943,0.374331066,0.113560091,0.014875283,,,9.07E-05,0.001451247,,0.003265306,0.020136054,0.242721088,0.510385488,0.525895692,0.545941043,0.41478458,0.037278912,0.000272109,,,,0.019410431,0.096598639,0.355464853,0.471836735,0.562721088,0.423854875,0.05478458,,,,,0.005079365,0.001995465,0.001904762
