,(85:r:71:69),(85:r:71:70),(85:r:72:68),(85:r:72:69),(85:r:72:70),(85:r:73:66),(85:r:73:67),(85:r:73:68),(85:r:73:69),(85:r:73:70),(85:r:73:71),(85:r:74:65),(85:r:74:66),(85:r:74:67),(85:r:74:68),(85:r:74:69),(85:r:74:70),(85:r:74:71),(85:r:75:64),(85:r:75:65),(85:r:75:66),(85:r:75:67),(85:r:75:68),(85:r:75:69),(85:r:75:70),(85:r:75:71),(85:r:76:63),(85:r:76:64),(85:r:76:65),(85:r:76:66),(85:r:76:67),(85:r:76:68),(85:r:76:69),(85:r:76:70),(85:r:76:71),(85:r:77:62),(85:r:77:63),(85:r:77:64),(85:r:77:65),(85:r:77:66),(85:r:77:67),(85:r:77:68),(85:r:77:69),(85:r:77:70),(85:r:77:71),(85:r:78:62),(85:r:78:63),(85:r:78:64),(85:r:78:65),(85:r:78:66),(85:r:78:67),(85:r:78:68),(85:r:78:69),(85:r:78:70),(85:r:78:71),(85:r:79:61),(85:r:79:62),(85:r:79:63),(85:r:79:64),(85:r:79:65),(85:r:79:66),(85:r:79:67),(85:r:79:68),(85:r:79:69),(85:r:79:70),(85:r:79:71),(85:r:80:60),(85:r:80:61),(85:r:80:62),(85:r:80:63),(85:r:80:64),(85:r:80:65),(85:r:80:66),(85:r:80:67),(85:r:80:68),(85:r:80:69),(85:r:80:70),(85:r:80:71),(85:r:81:59),(85:r:81:60),(85:r:81:61),(85:r:81:62),(85:r:81:63),(85:r:81:64),(85:r:81:65),(85:r:81:66),(85:r:81:67),(85:r:81:68),(85:r:81:69),(85:r:81:70),(85:r:82:58),(85:r:82:59),(85:r:82:60),(85:r:82:61),(85:r:82:62),(85:r:82:63),(85:r:82:64),(85:r:82:65),(85:r:82:66),(85:r:82:67),(85:r:82:68),(85:r:82:69),(85:r:82:70),(85:r:83:58),(85:r:83:59),(85:r:83:60),(85:r:83:61),(85:r:83:62),(85:r:83:63),(85:r:83:64),(85:r:83:65),(85:r:83:66),(85:r:83:67),(85:r:83:68),(85:r:83:69),(85:r:84:57),(85:r:84:58),(85:r:84:59),(85:r:84:60),(85:r:84:61),(85:r:84:62),(85:r:84:63),(85:r:84:64),(85:r:84:65),(85:r:84:66),(85:r:84:67),(85:r:84:68),(85:r:84:69),(85:r:85:56),(85:r:85:57),(85:r:85:58),(85:r:85:59),(85:r:85:60),(85:r:85:61),(85:r:85:62),(85:r:85:63),(85:r:85:64),(85:r:85:65),(85:r:85:66),(85:r:85:67),(85:r:85:68),(85:r:86:56),(85:r:86:57),(85:r:86:58),(85:r:86:59),(85:r:86:60),(85:r:86:61),(85:r:86:62),(85:r:86:63),(85:r:86:64),(85:r:86:65),(85:r:86:66),(85:r:86:67),(85:r:87:56),(85:r:87:57),(85:r:87:58),(85:r:87:59),(85:r:87:60),(85:r:87:61),(85:r:87:62),(85:r:87:63),(85:r:87:64),(85:r:87:65),(85:r:88:57),(85:r:88:58),(85:r:88:59),(85:r:88:60),(85:r:88:61),(85:r:88:62),(85:r:88:63),(85:r:88:64),(85:r:89:58),(85:r:89:59),(85:r:89:60),(85:r:89:61),(85:r:89:62)
ACBc,0.011519274,0.012063492,0.007981859,0.043900227,0.021950113,0.01814059,0.300952381,0.326984127,0.000362812,9.07E-05,,0.147664399,0.428752834,0.095328798,0.020226757,,,,0.307936508,0.555283447,0.204353741,0.000362812,,,,,0.166893424,0.439183673,0.181405896,0.013696145,0.000907029,,,,,0.01260771,0.098866213,0.017052154,0.002811791,,,,,,,0.033197279,0.002811791,,9.07E-05,,,,,,,0.000453515,0.021133787,0.000272109,,,,,,,,,,,,,9.07E-05,,,,,,,,,,0.002267574,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.l,0.005351474,0.014603175,0.002811791,0.019954649,0.028390023,0.001632653,0.199365079,0.093514739,0.004716553,0.0030839,,0.128435374,0.330068027,0.145759637,0.014421769,0.000272109,,,0.286712018,0.425578231,0.265578231,0.072018141,0.002630385,0.000816327,9.07E-05,,0.210975057,0.580408163,0.569433107,0.467664399,0.160816327,0.03755102,,,,0.068843537,0.627573696,0.655238095,0.387936508,0.216598639,0.111836735,0.000997732,,,,0.430385488,0.726439909,0.413333333,0.204535147,0.076099773,0.040544218,0.006893424,,,,0.022585034,0.285623583,0.316553288,0.128163265,0.059501134,,0.000997732,0.000725624,,,,0.02521542,0.285260771,0.327709751,0.038548753,0.043809524,0.049160998,0.000362812,0.00244898,,,,,,0.14984127,0.182403628,0.154829932,0.087437642,0.010430839,,,,,,,,0.039909297,0.070294785,0.059863946,0.028117914,0.011337868,,,,,,,,0.028480726,0.022947846,0.010612245,0.004353741,0.012154195,,,,,,,,,0.013786848,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003718821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.m,0.000816327,0.014603175,0.006258503,0.008163265,0.032018141,0.023038549,0.226848073,0.327619048,0.058684807,,,0.175238095,0.741315193,0.399092971,0.087891156,9.07E-05,,,0.283174603,0.73260771,0.593106576,0.223673469,0.005804989,,,,0.178412698,0.271836735,0.104489796,0.086621315,0.025396825,0.002086168,,9.07E-05,,0.002630385,0.008344671,0.016326531,0.004988662,0.003809524,0.002539683,,,,,0.012970522,0.003537415,0.000997732,0.000816327,,,,9.07E-05,,,,0.00244898,,,0.003174603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPext.rv,,,,,,,,,,,9.07E-05,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,0.000453515,,0.010612245,,,,,,,,,0.002721088,0.007981859,0.016054422,,0.011791383,,,,,,,,,,0.026575964,0.035918367,,0.03446712,0.001904762,,,,,,,,,0.021405896,0.030113379,0.016507937,0.009342404,0.052154195,0.002176871,,,,0.009795918,,,0.000997732,0.032743764,0.070839002,0.035918367,0.007528345,0.024580499,0.012426304,,,,0.009433107,0.12861678,0.097596372,0.100861678,0.110385488,0.086712018,0.198548753,0.030566893,0.02675737,0.010793651,0.009160998,0.001451247,,0.021678005,0.317823129,0.450702948,0.435192744,0.287165533,0.15047619,0.05106576,0.050249433,0.031746032,0.014875283,0.000362812,,0.040453515,0.373514739,0.820589569,0.463764172,0.258231293,0.074104308,0.028480726,0.046077098,0.035827664,0.00399093,0.072562358,0.289614512,0.160725624,0.050793651,0.040634921,0.046530612,0.011609977,,0.006530612,0.010702948,0.013151927,0.008253968,0.000272109
CPc.d.dl,,,,,,,,,,,,,,,,,,,,,,,0.008526077,0.017414966,,,,,,,0.011609977,0.028117914,0.020770975,0.05170068,0.037369615,,,,,,0.050340136,0.013786848,0.020861678,0.044081633,0.02276644,,,,,0.011247166,0.051882086,0.092335601,0.031564626,0.053696145,0.03446712,,,0.006077098,,,9.07E-05,0.000362812,0.063673469,0.100226757,0.159002268,0.055963719,,,,0.00462585,,,0.004263039,0.011337868,0.078095238,0.13170068,0.268027211,0.034104308,,,,,,0.001995465,0.002811791,0.020589569,0.057142857,0.315736961,0.464671202,0.194648526,,,,,,,,0.007437642,0.056326531,0.30829932,0.724716553,0.706938776,0.068662132,,,,,,0.000634921,0.005170068,0.080181406,0.229478458,0.61877551,0.737596372,0.313287982,,,,,,,,0.051337868,0.184852608,0.437006803,0.493514739,0.234739229,0.001632653,,,,,,,,0.009795918,0.115918367,0.288707483,0.177596372,0.064217687,0.001088435,,,0.000634921,0.010884354,0.006802721,,9.07E-05,0.043537415,0.112834467,0.069569161,0.011609977,,,,0.001179138,0.002902494,0.004897959,0.008072562,0.018321995,0.063492063,0.033015873,0.002902494,,0.008707483,0.01569161,0.018684807,0.010884354,0.018412698,0.010521542,,,,,,
CPc.d.dm,,,,,,,0.000181406,0.002630385,,,,,0.006621315,,0.009342404,0.00244898,,9.07E-05,0.001904762,,0.007800454,0.008253968,0.023129252,0.043446712,0.071292517,0.00244898,,0.002721088,,0.005351474,0.005170068,0.027573696,0.024217687,0.054965986,0.066938776,,,,,0.00553288,0.005986395,0.159002268,0.040997732,0.024399093,0.08244898,0.036462585,0.000816327,,0.000453515,0.00244898,0.008707483,0.051972789,0.008979592,0.09106576,0.039274376,0.03845805,0.079002268,0.000544218,,0.001632653,0.006077098,0.001179138,0.004716553,0.009433107,0.047256236,0.05170068,,0.002358277,0.003537415,,,,,0.000181406,0.000453515,0.018231293,0.110657596,0.008072562,,,,,,,,,,0.006258503,0.057687075,0.130249433,,,,,,,,0.002993197,,0.001814059,0.017868481,0.254512472,0.043718821,,,,,,,,,0.005260771,0.049705215,0.352018141,0.107210884,,,,,,,,,0.010612245,0.089977324,0.460680272,0.260226757,9.07E-05,,,,,,,,0.002993197,0.01015873,0.153015873,0.496235828,0.292154195,0.000362812,,,,,,,,0.001269841,0.137687075,0.402811791,0.198639456,0.000453515,,,,,,,0.044716553,0.204444444,0.382312925,0.109206349,,,,0.001179138,0.059501134,0.194829932,0.207981859,0.008435374,0.004897959,0.014512472,0.033287982,0.025034014,0.002358277
CPc.d.vm,,,,,,,,,,,,,,,,,,,9.07E-05,,0.004988662,9.07E-05,0.002176871,0.002539683,9.07E-05,,,,,0.015419501,0.021496599,0.015147392,,,,,,0.000725624,0.004807256,0.012335601,0.051156463,0.01414966,0.002902494,,9.07E-05,0.002358277,0.003356009,0.006712018,0.02031746,0.031201814,0.073922902,0.022040816,0.004897959,,,0.003809524,0.153741497,0.074739229,0.026303855,0.035102041,0.048072562,0.074739229,0.090340136,0.010068027,,,,0.043356009,0.250521542,0.273922902,0.116462585,0.056417234,0.102403628,0.165804989,0.091428571,0.066848073,0.02829932,,,,,0.00553288,0.120544218,0.137868481,0.16462585,0.238276644,0.287981859,0.301405896,0.319092971,0.039092971,,,,,0.00553288,0.015510204,0.161451247,0.191201814,0.423764172,0.337777778,0.312380952,0.15138322,0.014240363,,,,,0.002630385,0.006712018,0.121814059,0.379319728,0.503038549,0.39047619,0.356643991,0.072471655,,,,,0.000181406,0.005260771,0.014058957,0.073015873,0.501950113,0.520634921,0.37324263,0.125351474,,,0.004444444,0.000453515,,0.005442177,0.001360544,0.0338322,0.137777778,0.411609977,0.522902494,0.406712018,0.138684807,0.001632653,0.001451247,0.026213152,0.009795918,0.012789116,0.030929705,0.044081633,0.09877551,0.314739229,0.496417234,0.316734694,0.096507937,0.000634921,,0.004081633,0.030566893,0.021950113,0.03446712,0.198367347,0.241995465,0.339954649,0.17260771,0.040362812,0.000725624,0.034104308,0.158185941,0.200453515,0.24,0.147482993,0.064761905,0.007800454,0.001088435,0.062403628,0.02122449,0.010612245,9.07E-05
CPext.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000181406,0.045895692,0.020861678,,,,,,,,0.001088435,,0.006802721,,,,0.006893424,0.021950113,0.006530612,0.003628118,,0.001179138,0.008344671,0.027210884,,,,0.000634921,0.02031746,0.039727891,0.038820862,0.019591837,0.022947846,0.004716553,0.003809524,0.013333333,,,,,,,,0.003628118,0.03138322,,0.006893424,0.01723356,0.004444444,0.001451247,,,,,,0.00399093,0.065578231,0.033015873,0.017052154,0.066575964,0.049705215,0.00553288,0.00707483,,,,,,0.040090703,0.126802721,0.025306122,0.185941043,0.185759637,0.049433107,0.059138322,0.002993197,,,,,,0.006984127,0.066213152,0.165804989,0.282902494,0.051428571,0.038367347,0.032380952,,,0.011156463,0.01015873,,,,,0.095147392,0.442993197,0.28,0.019863946,,,,0.037732426,0.015147392,0.014421769,0.012879819,0.006077098,0.193469388,0.455600907,0.448072562,0.100408163,0.006077098,,,0.024671202,0.050702948,0.073378685,0.138321995,0.333968254,0.667936508,0.539319728,0.153015873,0.000453515,0.049977324,0.305306122,0.508752834,0.71138322,0.784036281,0.458684807,0.040453515,,0.057687075,0.264036281,0.309297052,0.151111111,
CPext.cv,,,,,,,,,,,,,,0.000362812,,9.07E-05,,0.000181406,,,9.07E-05,,,,,,,0.000181406,0.000181406,,,,,,,,,,9.07E-05,,,,,,,,,,0.000181406,,,,,,,,,,,,,,,,,,,,0.012517007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,9.07E-05,0.000181406,0.000634921,9.07E-05,,,,,,,0.000272109,,,,0.004716553,0.001904762,,9.07E-05,,,,,,9.07E-05,,0.009070295,0.004897959,,,9.07E-05,,0.002902494,0.000181406,,,,,,0.101133787,0.031111111,0.001814059,9.07E-05,,,0.004444444,0.00244898,,,,,0.106575964,0.249070295,0.047346939,0.013514739,0.0030839,0.017324263,0.007709751,0.000362812,,,0.192834467,0.347120181,0.135963719,0.049160998,0.009433107,0.010340136,0.000362812,,0.134421769,0.119546485,0.00952381,0.010430839,0.002176871
CPc.i.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000725624,,,,0.013877551,,0.001814059,0.001723356,0.003537415,0.027029478,0.007437642,0.007891156,,,,0.006984127,0.048888889,0.022222222,0.083265306,0.007891156,0.011882086,0.000272109,,,,,,0.009342404,0.070748299,0.080907029,0.120453515,0.177777778,0.223854875,0.10829932,0.03446712,,,,,0.003628118,0.038911565,0.024217687,0.176326531,0.182131519,0.270113379,0.222403628,0.128163265,0.018594104,,,,,0.007256236,0.022585034,0.069206349,0.286984127,0.346938776,0.148662132,0.09569161,0.042267574,0.02031746,,,,,,0.093786848,0.228480726,0.443718821,0.333605442,0.180045351,0.032380952,,,,,,,0.041632653,0.175419501,0.311292517,0.485170068,0.179591837,0.090702948,,,,,,,,,0.043628118,0.29015873,0.548208617,0.039092971,0.063582766,0.020045351,,,0.007256236,,,,0.065306122,0.247709751,0.591292517,0.27537415,0.037823129,0.004897959,,,,0.001904762,0.024217687,0.153106576,0.466394558,0.489160998,0.113106576,0.020589569,0.010068027,0.011882086,0.148571429,0.401269841,0.564444444,0.390022676,0.056235828,0.006621315,,0.051247166,0.062947846,0.139954649,0.018866213,0.001269841
