,(87:r:71:64),(87:r:71:65),(87:r:71:66),(87:r:72:64),(87:r:72:65),(87:r:72:66),(87:r:73:64),(87:r:73:65),(87:r:73:66),(87:r:74:63),(87:r:74:64),(87:r:74:65),(87:r:74:66),(87:r:74:67),(87:r:75:63),(87:r:75:64),(87:r:75:65),(87:r:75:66),(87:r:75:67),(87:r:76:62),(87:r:76:63),(87:r:76:64),(87:r:76:65),(87:r:76:66),(87:r:76:67),(87:r:77:61),(87:r:77:62),(87:r:77:63),(87:r:77:64),(87:r:77:65),(87:r:77:66),(87:r:77:67),(87:r:78:61),(87:r:78:62),(87:r:78:63),(87:r:78:64),(87:r:78:65),(87:r:78:66),(87:r:78:67),(87:r:78:68),(87:r:79:60),(87:r:79:61),(87:r:79:62),(87:r:79:63),(87:r:79:64),(87:r:79:65),(87:r:79:66),(87:r:79:67),(87:r:79:68),(87:r:80:59),(87:r:80:60),(87:r:80:61),(87:r:80:62),(87:r:80:63),(87:r:80:64),(87:r:80:65),(87:r:80:66),(87:r:80:67),(87:r:81:59),(87:r:81:60),(87:r:81:61),(87:r:81:62),(87:r:81:63),(87:r:81:64),(87:r:81:65),(87:r:81:66),(87:r:81:67),(87:r:82:58),(87:r:82:59),(87:r:82:60),(87:r:82:61),(87:r:82:62),(87:r:82:63),(87:r:82:64),(87:r:82:65),(87:r:82:66),(87:r:83:57),(87:r:83:58),(87:r:83:59),(87:r:83:60),(87:r:83:61),(87:r:83:62),(87:r:83:63),(87:r:83:64),(87:r:83:65),(87:r:84:55),(87:r:84:56),(87:r:84:57),(87:r:84:58),(87:r:84:59),(87:r:84:60),(87:r:84:61),(87:r:84:62),(87:r:84:63),(87:r:84:64),(87:r:85:55),(87:r:85:56),(87:r:85:57),(87:r:85:58),(87:r:85:59),(87:r:85:60),(87:r:85:61),(87:r:85:62),(87:r:85:63),(87:r:86:54),(87:r:86:55),(87:r:86:56),(87:r:86:57),(87:r:86:58),(87:r:86:59),(87:r:86:60),(87:r:86:61),(87:r:86:62),(87:r:87:54),(87:r:87:55),(87:r:87:56),(87:r:87:57),(87:r:87:58),(87:r:87:59),(87:r:87:60),(87:r:88:53),(87:r:88:54),(87:r:88:55),(87:r:88:56),(87:r:88:57),(87:r:88:58),(87:r:89:53),(87:r:89:54),(87:r:89:55)
ACBc,0.000544218,0.00399093,0.027664399,0.000272109,0.010068027,0.024217687,0.017959184,,,0.004081633,0.278911565,0.009433107,,,0.053605442,0.021133787,0.003265306,,,0.03845805,0.151927438,0.000634921,,,,,0.015600907,0.000181406,,,,,0.000634921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.l,,,,0.007165533,0.001904762,,,,,0.003446712,0.053514739,,,,0.12154195,0.009614512,,,,0.118095238,0.489886621,0.098956916,,,,0.033015873,0.50829932,0.334603175,0.086984127,,,,0.259410431,0.312471655,0.147755102,0.007981859,,,,,0.099138322,0.21170068,0.117823129,0.026485261,,,,,,0.001723356,0.090340136,0.08553288,0.019863946,0.023129252,,,,,0.035827664,0.061678005,0.007437642,,,,,,,,0.052879819,,,,,,,,,0.000453515,0.001723356,,,,,,,,0.005895692,,,,,,,,,,,,,,,,,,,0.000725624,0.017324263,0.008435374,,,,,,,0.00861678,,,,,,,,,,,,,,
ACBsh.m,,0.000997732,0.011156463,0.012879819,0.009795918,0.045804989,0.145578231,0.021768707,0.001904762,0.008888889,0.455056689,0.005442177,,,0.217324263,0.231473923,0.002267574,,,0.099501134,0.356190476,0.03755102,0.000453515,9.07E-05,,0.035555556,0.139047619,0.023854875,0.007800454,,,,0.159002268,0.017142857,0.001995465,,9.07E-05,,,,0.003174603,0.01324263,,,,,,,,,0.002811791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,
CPext.rv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000181406,0.004897959,,,,,,,,0.001723356,0.010702948,,,,,,,,,0.04861678,0.027029478,,,,,,0.013424036,0.007165533,0.023764172,0.066394558,0.001723356,,,,,,0.005623583,,0.00553288,0.018503401,,,,,,,,0.011609977,0.031836735,0.043809524,,0.004353741,,0.001088435,0.013968254,,0.003718821,0.018866213,0.010249433,0.019591837,0.044807256,0.021315193,0.000725624,0.083809524,0.122267574,0.160362812,0.078185941,0.172789116,0.150022676,0.026485261,0.02122449,0.008707483,0.064036281,0.415963719,0.587936508,0.643718821,0.617414966,0.419319728,0.130521542,0.019047619,,0.039183673,0.17260771,0.248979592,0.223492063,0.088435374,0.019501134,0.002358277,,0.002811791,0.039183673,0.049977324,0.008798186,0.000453515,,,
CPc.d.dl,,,,,,,,0.005986395,0.01478458,,,,0.023038549,,,,,0.042811791,0.00707483,,0.031201814,0.031836735,0.021678005,0.028117914,0.033197279,,,0.001814059,0.076190476,0.169614512,0.108027211,0.026394558,,,0.003356009,0.068843537,0.214875283,0.345306122,0.195918367,9.07E-05,,,,0.006893424,0.025034014,0.051519274,0.401995465,0.196734694,,,,,0.003356009,,0.010068027,0.127981859,0.637732426,0.177324263,,,,,0.00399093,0.018049887,0.230657596,0.65324263,,,,,,,0.016870748,0.092244898,0.557641723,0.24462585,,,,,,0.000816327,0.037823129,0.374240363,0.278004535,,,,,,,0.003718821,0.073650794,0.43047619,0.153106576,,,,0.01814059,0.052154195,0.027664399,0.192653061,0.325260771,0.078367347,,,,0.001632653,0.030748299,0.069659864,0.076462585,0.020408163,,,,,0.001360544,0.00462585,,,,,,,,,,,
CPc.d.dm,,0.000362812,0.002721088,,0.015963719,0.035918367,0.004716553,0.022403628,0.081632653,0.004535147,0.104489796,0.042630385,0.051972789,0.015963719,0.132063492,0.165079365,0.212335601,0.102947846,0.062947846,0.008253968,0.26675737,0.290612245,0.179138322,0.17324263,0.084716553,,0.004081633,0.035011338,0.013424036,0.017687075,0.038911565,0.079183673,,,0.000907029,,,0.000453515,0.056961451,0.002176871,0.002086168,,0.002902494,,,,0.007528345,0.103401361,,,,,,,0.010793651,,0.018503401,0.096507937,,,,,,0.000816327,,0.05170068,0.015510204,,,,,,,0.001179138,0.051156463,0.033922902,,,,,,0.000816327,,0.009342404,0.072653061,,,,,,,,0.016870748,0.110929705,0.058684807,,,,,0.008707483,0.097868481,0.245442177,0.303854875,0.059591837,,0.00154195,0.010975057,0.058684807,0.121723356,0.440453515,0.661133787,0.365986395,0.008798186,0.006439909,0.011156463,0.037188209,0.353378685,0.617777778,0.429569161,0.070657596,,0.003356009,0.014331066,0.059229025,0.074195011,0.022857143,,0.002358277,
CPc.d.vm,,,,,,,,,,,0.000453515,,,,,,,,,0.000816327,0.003265306,0.003537415,,,,,0.003809524,0.008707483,0.000544218,0.000181406,,,0.000907029,0.004807256,0.004535147,0.002358277,0.001088435,0.000362812,,,0.000362812,0.001904762,0.004716553,0.008253968,0.00154195,0.000634921,0.000362812,,,,0.001088435,0.002630385,,0.005079365,0.010975057,0.000362812,,0.000725624,,0.000634921,0.005714286,0.003900227,0.001723356,0.001179138,0.009251701,0.0061678,,9.07E-05,0.000181406,0.000453515,0.000725624,0.000997732,0.002811791,0.074920635,0.139501134,,,,0.000907029,,0.001632653,0.034104308,0.248344671,0.307120181,0.012517007,,9.07E-05,0.005351474,,,0.025759637,0.237732426,0.45877551,0.386575964,0.024580499,0.006712018,0.007891156,0.010068027,0.028208617,0.20399093,0.608979592,0.746485261,0.320634921,0.011247166,0.003537415,0.045079365,0.194920635,0.391201814,0.556371882,0.727981859,0.446439909,0.069206349,,0.011156463,0.017324263,0.081088435,0.280362812,0.358548753,0.148208617,0.004263039,,0.000362812,0.002267574,0.009433107,0.006893424,0.000907029,,,
CPext.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00462585,,,,,,,,,,,,,,0.032108844,0.009070295,,,,,,,0.003718821,,,,,,,,,,,,,0.030294785,,,,,,,,0.001179138,0.000453515,0.022403628,,,,,,,0.022131519,0.069297052,0.031564626,,,,,,,,0.02984127,0.190657596,0.143582766,0.014240363,0.004535147,0.000634921,0.02521542,0.017596372,0.135782313,0.310748299,0.35292517,0.215238095,0.010884354,,0.060589569,0.304852608,0.462312925,0.6061678,0.634195011,0.276553288,0.011791383,0.000362812,0.022403628,0.314376417,0.542222222,0.494512472,0.374875283,0.10276644,0.004444444,0.00244898,0.028571429,0.049705215,0.079637188,0.024761905,0.004081633,0.000453515,,
CPext.cv,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052879819,0.02031746,9.07E-05,0.004172336,,0.001179138,0.002176871,,,0.085714286,0.381315193,0.166439909,0.097505669,0.043174603,0.020408163,0.028662132,0.00861678,,0.385396825,0.766530612,0.417777778,0.258049887,0.138049887,0.052154195,0.003265306,0.035011338,0.525804989,0.537596372,0.349750567,0.043446712,0.006530612,0.050521542,0.071201814,0.001904762
CPc.i.d,,,,,,,,,,,,,,,,,,0.001088435,,,,,0.000816327,,,,0.009795918,0.002267574,0.012517007,,0.009705215,0.007528345,,,0.000453515,0.067482993,,0.008888889,0.005623583,,,,,,0.014512472,0.027120181,0.024036281,,,,0.008979592,0.015510204,,,0.019863946,0.01324263,0.077732426,,,,,0.001179138,0.020226757,0.037188209,0.187936508,0.116553288,0.000997732,,,,,,0.016961451,0.077369615,0.246439909,0.031836735,,,,,0.029931973,0.026031746,0.068117914,0.376326531,0.038185941,,,,,,0.011519274,0.01569161,0.025396825,0.326077098,0.10739229,0.006530612,,0.000816327,,,,0.028117914,0.318276644,0.054875283,,0.04553288,0.14276644,0.134331066,0.147210884,0.202539683,0.343219955,0.238276644,0.004897959,,,0.005260771,0.021496599,0.248072562,0.267210884,0.085442177,,,,0.002721088,,,,,
