,(89:r:73:61),(89:r:73:62),(89:r:74:60),(89:r:74:61),(89:r:74:62),(89:r:74:63),(89:r:75:58),(89:r:75:59),(89:r:75:60),(89:r:75:61),(89:r:75:62),(89:r:75:63),(89:r:76:55),(89:r:76:56),(89:r:76:57),(89:r:76:58),(89:r:76:59),(89:r:76:60),(89:r:76:61),(89:r:76:62),(89:r:76:63),(89:r:77:54),(89:r:77:55),(89:r:77:56),(89:r:77:57),(89:r:77:58),(89:r:77:59),(89:r:77:60),(89:r:77:61),(89:r:77:62),(89:r:77:63),(89:r:78:54),(89:r:78:55),(89:r:78:56),(89:r:78:57),(89:r:78:58),(89:r:78:59),(89:r:78:60),(89:r:78:61),(89:r:78:62),(89:r:79:53),(89:r:79:54),(89:r:79:55),(89:r:79:56),(89:r:79:57),(89:r:79:58),(89:r:79:59),(89:r:79:60),(89:r:79:61),(89:r:79:62),(89:r:80:53),(89:r:80:54),(89:r:80:55),(89:r:80:56),(89:r:80:57),(89:r:80:58),(89:r:80:59),(89:r:80:60),(89:r:80:61),(89:r:81:52),(89:r:81:53),(89:r:81:54),(89:r:81:55),(89:r:81:56),(89:r:81:57),(89:r:81:58),(89:r:81:59),(89:r:81:60),(89:r:82:51),(89:r:82:52),(89:r:82:53),(89:r:82:54),(89:r:82:55),(89:r:82:56),(89:r:82:57),(89:r:82:58),(89:r:82:59),(89:r:83:51),(89:r:83:52),(89:r:83:53),(89:r:83:54),(89:r:83:55),(89:r:83:56),(89:r:83:57),(89:r:83:58),(89:r:84:51),(89:r:84:52),(89:r:84:53),(89:r:84:54),(89:r:84:55),(89:r:84:56),(89:r:85:51),(89:r:85:52),(89:r:85:53),(89:r:85:54),(89:r:85:55),(89:r:86:50),(89:r:86:51),(89:r:86:52),(89:r:86:53),(89:r:87:50),(89:r:87:51)
ACBc,,,,,,,0.012154195,0.042176871,,,,,,0.141405896,0.347029478,0.134693878,0.054421769,0.005079365,,,,,0.112018141,0.246712018,0.057959184,9.07E-05,,,,,,0.0030839,0.0061678,0.005351474,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBsh.l,,,,,,,0.046439909,0.026485261,,0.000907029,,,9.07E-05,0.179138322,0.513106576,0.515011338,0.212517007,0.002539683,,,,0.00399093,0.354648526,0.62276644,0.649614512,0.368526077,0.167709751,0.039546485,,,,0.156825397,0.468752834,0.361632653,0.203265306,0.079365079,0.001360544,,,,0.016054422,0.153287982,0.167256236,0.069024943,0.022222222,0.007165533,,,,,0.023945578,0.056235828,0.049251701,0.003174603,,0.02893424,,,,0.008344671,0.05324263,0.03292517,,,,,,,,0.024399093,0.046349206,0.010340136,,,,,,0.005170068,0.052970522,0.013877551,,,,,,0.007981859,0.026666667,0.045079365,,,,0.008707483,0.002539683,0.039274376,0.000725624,,,,0.012063492,,,
CPext.rv,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003174603,,,,,,0.005714286,0.003628118,,0.00462585,0.000362812,,,,,,0.002811791,0.028390023,0.01414966,0.024036281,,0.003174603,0.001814059,,,,0.003174603,0.015419501,0.038911565,0.000181406,0.006802721,0.170430839,0.117641723,0.007437642,0.005623583,0.008253968,0.003718821,0.026666667,,0.007346939,0.30893424,0.560907029,0.512018141,0.409614512,0.30893424,0.115464853,0.000725624,,0.022675737,0.086712018,0.176235828,0.181678005,0.030204082,,0.002358277,0.001814059,,,,,,,,
CPc.d.dl,,,,0.006893424,,,,0.000181406,0.033378685,0.079092971,0.17106576,0.154013605,,,0.006712018,0.042358277,0.079818594,0.20707483,0.297142857,0.615056689,0.220045351,,,,0.000544218,0.039727891,0.491609977,0.7538322,0.63755102,0.488072562,0.01324263,,,,,,0.085170068,0.500680272,0.695963719,0.089342404,,,,,,0.001814059,0.065396825,0.456417234,0.267120181,,,,,,,0.024852608,0.068117914,0.353106576,0.025759637,,,,,,0.00553288,0.041179138,0.126802721,0.022857143,,,0.000634921,0.003174603,0.006258503,0.006349206,0.042721088,0.08154195,0.01015873,,,,,0.028752834,0.091882086,0.115102041,0.000907029,0.001088435,0.001269841,0.047346939,0.145306122,0.078367347,0.021133787,0.005079365,0.002993197,0.022494331,0.011247166,,,,,0.003356009,,
CPc.d.dm,,,,0.015147392,0.095147392,0.074195011,9.07E-05,0.029659864,0.04952381,0.159274376,0.161179138,0.266666667,,0.008707483,0.121814059,0.197641723,0.017142857,0.158639456,0.166621315,0.195827664,0.033378685,,0.000816327,0.008888889,,0.008526077,0.041995465,0.012789116,0.028480726,0.125895692,,,,0.002539683,0.00399093,0.000997732,0.003537415,0.023129252,0.04154195,,,,,,0.000544218,,,0.099047619,0.005351474,,,,,,,0.000634921,0.056417234,0.008435374,,,,,,0.000725624,0.001179138,0.006802721,0.004807256,,,,,,0.003356009,0.002902494,0.020861678,0.002902494,,0.001995465,0.046530612,0.117823129,0.065396825,0.131156463,0.232743764,0.041088435,,0.038730159,0.383764172,0.703945578,0.726712018,0.485351474,0.128888889,0.033015873,0.193650794,0.128435374,0.014512472,,,0.018684807,0.001179138,,,
CPc.d.vm,,,,,0.001360544,,,,,0.000181406,0.005986395,,,,9.07E-05,0.002176871,0.000272109,0.002630385,0.000544218,,,,,0.005351474,0.008798186,0.00553288,0.004988662,0.000453515,0.000362812,,,,0.001088435,0.001088435,0.003900227,0.003356009,,0.001360544,0.002539683,,0.000181406,0.000362812,9.07E-05,,0.000181406,0.000725624,0.001088435,0.007437642,,,0.000272109,0.000544218,,0.000907029,,0.00154195,0.049433107,0.001632653,,0.000634921,0.001904762,0.000453515,0.001179138,0.000544218,0.000362812,0.071927438,0.03292517,,,0.00154195,0.000272109,,0.000997732,,0.072743764,0.076825397,,0.02122449,0.01170068,0.012154195,0.059863946,0.097052154,0.225578231,0.088435374,,0.06893424,0.388571429,0.575600907,0.515646259,0.288526077,0.011972789,0.00861678,0.087165533,0.058594104,,,,0.001814059,,,,
CPext.d,,,,,,0.020589569,0.001904762,,0.000544218,0.00462585,,,,,,0.014331066,0.069115646,,,,,,0.001360544,,,,,,,,,,,,,,,,,,,,,,,,,,0.001088435,,,,,,,9.07E-05,0.001904762,0.040181406,,9.07E-05,0.001632653,,,,,,0.107936508,0.027936508,,0.014603175,0.018503401,,0.009795918,0.001360544,0.024943311,0.180408163,0.037097506,0.21968254,0.5261678,0.46829932,0.232380952,0.203718821,0.394104308,0.263945578,0.008798186,0.39600907,0.639727891,0.647437642,0.627482993,0.426848073,0.093605442,0.105124717,0.202721088,0.058049887,0.039092971,,,0.055328798,,,0.001451247,
CPext.cv,,,,,,,,,,9.07E-05,9.07E-05,,,,,0.003628118,0.007891156,,,,,,,,,9.07E-05,,,,,,,,,,,9.07E-05,0.000181406,,,,,,,,9.07E-05,,9.07E-05,,,,,,,,,,9.07E-05,,,,,,,,,0.000181406,,0.013514739,0.106666667,0.017687075,0.00952381,,,0.001632653,0.006077098,,0.249251701,0.499319728,0.300952381,0.199365079,0.054603175,0.041814059,0.008979592,9.07E-05,0.622131519,0.641451247,0.399365079,0.315736961,0.222675737,0.014875283,0.216689342,0.153378685,0.217052154,0.163174603,0.009614512,9.07E-05,0.013786848,0.009160998,9.07E-05,,
CPc.i.d,,,,,,0.020680272,,,,,0.015147392,0.020136054,,,,,0.001360544,0.022312925,0.101043084,0.143492063,0.000816327,,,,,,,0.071292517,0.119002268,0.092698413,,,,,,,0.063945578,0.057052154,0.177414966,,,,,,,0.010702948,0.003809524,,0.009433107,,,,,,,0.044263039,,,,,,,,,,0.00553288,,,,0.029115646,,,,,0.013786848,0.012335601,,0.062131519,0.161451247,0.09414966,0.072834467,0.016145125,0.097868481,0.09814059,0.004535147,0.049160998,0.181768707,0.444535147,0.255873016,0.176689342,0.006349206,0.000816327,,,0.002086168,,,,,,,
CPc.i.vl,,,,,,,,,,,,,,,0.000816327,,,0.000816327,,,,,,,,0.002358277,,,0.043718821,0.026213152,,,,,,0.014965986,0.013877551,0.000544218,0.005260771,,,,0.001451247,0.001814059,0.065306122,0.078276644,0.034195011,0.002902494,0.000634921,,,,,0.01814059,0.110294785,0.320997732,0.35446712,0.025668934,,,,0.000907029,0.000997732,0.038276644,0.140408163,0.387573696,0.42585034,0.007709751,,0.00154195,0.06585034,0.176326531,0.071564626,0.132154195,0.211609977,0.566712018,0.031020408,,0.01723356,0.160997732,0.297505669,0.528979592,0.359365079,0.279002268,0.005442177,,,,0.027301587,0.109478458,0.081179138,,,,,,,,,,,
